MTRN,BEP,FARM,KAI,KNW,ISDR,DYAI,MITK,PRTG,GILD,TNL,NBIX,ONCY,ARR,KLIC,EAT,QUBT,MRKR,LFMD,NEPH,CYTH,KOSS,FKWL,FLEX,AEHL,TSCO,FLNT,IHT,QCRH,FLS,IMAX,OXM,QUIK,FNB,WCN,RBCAA,WEYS,NSYS,RELX,SJT,WFCF,LIXT,DVAX,CHCI,PALT,NTWK,ALRS,FUN,HL,NVS,NWG,BCAL,SNA,BCML,WTW
0.062609395,0.014625407,0.018683749,0.04313259,0,0,-0.02500005,0,0.04,0.005252669,0.058573817,0.022263519,0.082901584,-0.002171325,0.048237526,0.040904255,0,0.041666667,0,-0.221428584,0,0,-0.063829729,0.017948725,0,0.032433576,0,0.079207762,0.040639852,0.174034636,0.066371651,0.026979381,-0.018126891,0.01798347,0.016460695,0.006539765,-0.033999858,-0.018518501,0.002270687,-0.011143892,0,0,-0.026455026,0.100917365,0,0.025862002,0,0.029171232,-0.00430077,-0.007088131,0.008894703,0,0.042956037,0,0.031428599
0.012178964,-0.003203148,-0.023759951,-0.042800081,0.2,1.431372566,0.025641079,0,-0.230769231,0.007838188,-0.036888491,-0.018148889,0.01913881,0,0.014159188,-0.049638332,0,0,0,-0.192660569,0,0,0.022727251,-0.007556709,0.003382237,-0.020608274,0,0.366972655,0,-0.013277822,-0.022129993,-0.007321094,0.046153813,-0.027760416,-0.002361592,-0.04168938,-0.038302556,0.141509429,-0.010710515,0.022264196,0,0,-0.038043519,0.016666708,-0.058823592,0.10504202,0,0.02721108,-0.023758091,-0.00198309,0.013853869,0,-0.000194852,0,-0.025761783
-0.03317076,0,-0.031597065,-0.027661637,0,0,0.024999976,0,0,-0.037156879,-0.044546223,-0.060998139,-0.046948393,0.00217605,-0.071553077,-0.013057523,0,0,0,-0.01136356,0,0.017524077,0,-0.058375645,-0.002247301,-0.029509889,-0.001396662,-0.026845809,-0.055057769,-0.037741924,-0.036775138,-0.003471128,-0.02352939,-0.035042002,-0.02367271,-0.059321908,-0.042339131,0.047933876,-0.041849124,-0.023393137,0,0,0,-0.098360674,-0.024999926,-0.045627334,0,-0.024282621,-0.043141553,-0.035962429,-0.059627193,0,-0.031238239,0,-0.009098713
-0.015136241,0,0.008377535,0.016367511,0,0,-0.024390221,0,0.35,0.006730543,-0.025272193,-0.011811013,0.039408879,0,-0.033834551,-0.031422052,0,0,0,0.057471262,0,-0.007777791,0.222222222,0.001796978,0.003378313,0.001586739,0,0,0.046070435,-0.001311054,0.001468462,-0.061819647,-0.00602407,0.007397098,-0.003810324,0.022222014,0.019482394,0,-0.001955651,0.00082598,0,0,-0.022598813,-0.172727267,0,-0.031872555,0,-0.008144683,0.00462383,0.008449923,-0.022457235,0,0.003829293,0,-0.015781937
0.019467228,-0.029994151,0.00568417,0.010736441,0,0,-0.249999981,0,-0.037037037,-0.009805797,0.024586476,0.053784857,-0.047393403,-0.001085488,0.046692457,0.0307341,0,-0.36,0,-0.03260875,0,0,-0.018181801,0,0.017957426,0.042502437,0,-0.103448308,-0.040803255,0.050213424,0.001466239,0.002784466,-0.006060662,0.026034674,0.00486812,0.011750745,0.001470722,0.001577248,-0.008273416,0.007152562,0,0,0.034682065,0.010989038,0.153846105,-0.049382671,0,0.017335533,0.028768717,0.003882952,-0.01486497,0,-0.00702678,0.069651721,-0.043731705
-0.162813939,-0.001104706,-0.006521717,-0.025797072,0,0,-0.1,0,0,0.002250688,-0.013525383,-0.035916835,0.004975188,0.001086667,0.005576392,-0.002209091,0,0.5625,0,0,0,0,0,0,-0.005512723,0.019752325,0,0,0.059419363,-0.014895894,0.038067384,-0.001851391,-0.009146302,0.001301093,0.015224976,0.001742249,-0.00880789,-0.078740159,-0.001756272,0.024310213,0,0,-0.024208552,0,0,-0.021645021,0,-0.008071549,0.039150295,-0.003460752,-0.009602015,0,-0.009704368,0,-0.008536588
0.087634921,-0.005527537,0.010065796,0.0373832,0,0,0.037037,0,-0.038461538,0.001571725,0.001327122,-0.003921565,0.049504889,0,-0.001848521,-0.0055337,0,0,0,0,0,-0.014557564,-0.07407409,0.016143569,-0.002217176,0.02905368,0,-0.023076766,-0.046526464,0.029925102,-0.008462615,-0.006026887,-0.006153819,-0.018193266,-0.00238582,-0.026086515,-0.002221353,0.042735043,0.006377999,0.019200197,0,0,0.001908368,-0.032608701,0,-0.022123893,0,0.011301821,0.048439278,-0.00020437,-0.004155233,0,0.020824428,0,-0.028905292
-0.009933831,-0.005002707,0.020363903,0.003378547,0,0,0,0.181818092,0,0.010986681,0.035777436,-0.013779468,-0.042452809,0,0.016666649,0.02448511,0,0,0,0.056179776,0,0.002841068,0.2,-0.010591434,0,-0.0144792,0.004195776,-0.031496266,0,0.002258389,0.002844947,0.006529948,-0.021671816,0.009927184,0.008540812,0.017856887,0.049350757,-0.022950798,0.0052447,-0.006017816,0,0,0.007619077,0.11235952,0,0.031674156,0.003030583,0.038444504,-0.011293267,0.012260003,0.025034916,0.3,0.000599881,-0.023255814,-0.012349576
0.056113202,-0.007821715,0.031422558,0.069210833,0,0,-0.107142861,0,0,0.007984208,-0.01961646,0.011976036,0.029556635,-0.002171325,-0.027322377,0.047257439,0,0,0,0.010638316,0,0.01982977,-0.016666651,0.034790333,0,0.010773656,0.001392772,0,0.022727507,0.022331474,0.014184383,0.007477252,0.009493629,0.017038081,0.030826794,0.030409759,0.057637884,0,0.020217556,0.001841688,0,0,-0.001890402,0.010101035,0,-0.118421006,0,-0.003013464,0.053997184,0.011304057,0.008141111,0,0.03437936,0,0.039756317
-0.015482246,-0.000563283,-0.041169341,-0.047585815,0,0,-0.160000026,-0.153846089,0,-0.015621638,-0.01043935,-0.00986197,-0.004784655,0.003264133,0.001872847,-0.015560568,0,-0.36,0,-0.021052667,0,0.027777926,0,-0.065517147,0,-0.026647054,-0.001390835,-0.048780267,0,-0.022745535,0.016783201,-0.040816575,-0.028213129,-0.038659427,-0.000328657,-0.06129462,-0.034899324,0,-0.017685829,0.004730724,0,0,-0.030303002,0,0,-0.064676673,0,-0.008203648,-0.016748446,0.005588675,-0.037685195,0,-0.025506539,0,0.006783812
