ATER,MBRX,TECX,HOLO,LENZ,MNPR,STEC,GNPX,IMG,GNLN,DRUG,MIRA,ASNS,CHSN,DUO
0.020339025,-0.004098369,0.030303001,0.005154659,-0.016722392,-0.016216201,-0.0670554,0.021929804,0.026595719,0.036956576,-0.000523522,-0.068376006,0.027522909,0.026315765,-0.001715244
-0.003322216,0.008230469,0.007352993,0.153846154,-0.010204072,-0.010989066,-0.015624985,0.163090183,-0.113989593,0.018867919,-0.002095373,0.018348606,0,0.136752215,0.032646036
0.0333333,0.028571425,-0.160583957,-0.079999966,-0.003436423,0.047222245,-0.039682502,-0.0110701,-0.035087755,0,0.128608991,-0.154054056,0.008928563,0.037593948,0.069883519
-0.04193552,0,0.09565215,-0.028985525,-0.062068986,-0.108753339,0,-0.291044803,0.103030351,0.004115196,0.004651158,0.001064949,0,-0.00724637,-0.066874001
0.043771084,0.025793673,0.0079365,-0.039801051,-0.018382335,0.104166712,-0.115702464,-0.031578918,-0.087912133,-0.016393409,-0.004629625,0.021276576,0,0.10218977,0.01666665
0.12903223,-0.019342341,0.007874008,-0.051813474,-0.007490629,-0.018867906,0,-0.197010905,0.072289161,-0.060416711,0.004651158,-0.031249971,0.017699098,0.026490041,-0.016393427
-0.017142807,0.023668568,0.015625048,-0.071038213,-0.011320833,-0.021978066,0.003738269,0.13367174,0.011235945,-0.024390206,-0.046296361,0.460215086,0.017391288,-0.051612856,-0.0333334
-0.008720991,-0.013487417,0.0076923,-0.111764683,0.053435157,-0.073033706,0.033519565,-0.104477586,-0.038888853,0.045454501,-0.009708729,-0.175257753,-0.030769243,0.054421716,0
0.014662743,0.015624915,0.00763358,10.9205295,0.057971046,-0.060606076,-0.036036001,-0.111666679,-0.011560682,-0.106521747,-0.014705869,-0.044642814,-0.003527292,-0.019354821,-0.05172409
0.052023143,-0.051923041,-0.015151501,0.594444444,0.034246542,0.054838736,0.205607382,-0.172607897,-0.029239807,-0.014598537,-0.054726376,-0.069158932,0.017699098,0.151315804,0.052727243
0.186813242,0.04868158,0.0153846,-0.257839721,0,0.070336398,-0.116279055,0.038548771,0.054216889,-0.012345641,0.005263153,0.174698762,0.03478268,-0.034285682,0.07081176
-0.041666681,0,-0.015151501,-0.198122051,-0.016556276,-0.054285731,0.096491242,0.069869034,0.04571431,-0.017500032,-0.005235597,-0.008547001,-0.016806806,-0.005917224,-0.091935453
-0.057971059,-0.013539708,0,0.377049138,-0.050505082,-0.003021145,0.031999969,-0.006122492,-0.071038247,-0.045801517,0.015789459,-0.094827601,-0.025641002,0.208333354,-0.023090606
0.097435946,0,-0.007692361,-0.042091811,0.028368852,0.021212101,-0.065891412,-0.045174496,0.117647013,0.039999991,0.012953418,0.104761923,0.035087686,0.029556622,0.283636282
0.102803737,-0.019607825,0.015503923,0.375943168,0.04137927,0.00890214,0.037344361,-0.058064511,0.063157898,0.056410281,0.002557542,-0.112068965,-0.053389802,-0.110047803,-0.062322906
-0.055084731,-0.004000008,-0.015267221,1.140645083,0.00662251,0.008823521,0.256000042,0.004566206,0.014851471,0.036407758,-0.005102036,0.009708729,0.002685784,-0.094086059,0.01963748
-0.044843072,0.004016072,0.007751992,-0.752712459,-0.029605235,0.950437297,0.050955364,-0.02500003,-0.029268265,0.077283354,-0.041025662,0.028846242,0,-0.091988117,-0.094814829
-0.037558692,0.001999974,0,-0.055454027,0.016949136,-0.147982099,-0.036969691,0.046620003,-0.06532663,-0.028260895,-0.002673794,0.009345785,0.004464281,-0.084967319,0.00163664
-0.095121963,0.02794411,-0.007692361,-0.289677429,0.00999999,0.964912313,-0.096916328,-0.020044472,0.037634372,-0.03803128,0.029490588,-0.018518611,-0.022222201,0.164285731,-0.024509781
0.010781693,0.04854376,-0.007751931,-0.399636699,-0.009900981,0.160714305,-0.029965146,-0.0090909,-0.056994766,0.046511583,-0.020833314,-0.056603723,0.072727202,0.042944818,0.139028482
0.010666688,0.090740673,0.015625048,0.815431207,0.00999999,0.038461538,-0.022988467,0.011467824,-0.071428567,0.06666675,-0.010638288,0.029999971,0,-0.011764764,-0.11911769
0.055408964,0.045840426,0,-0.214166641,0.042904329,-0.103703675,0.033088203,-0.047619058,0,-0.020833358,-0.005376339,0.019417458,-0.017796533,-0.047619004,-0.023372286
-0.02500005,-0.009740231,0.0153846,0.071049806,0.037974646,-0.173553745,-0.046263302,-0.007142794,0.005917154,-0.053191507,-0.021081099,-0.047619004,-0.007765369,-0.018749982,-0.056410245
