PLX,FSI,SMTI,SCWO,EPM,FNLC,FNWD
0,0,0,-0.125000143,0,0,0
0,0,-0.2,0.14285733,-0.13333335,-0.016666054,0
0,0,0.416666667,0,0,0,0
-0.375,0,-0.117647059,0,0.217948343,0,0
0,0,0,-0.062500072,-0.178947116,0,0
0,0,0.266666667,0.133333252,0,0,0
0,0,-0.105263158,0.117647211,-0.166666667,0.016948519,0
0,0,-0.058823529,0.263157814,0.038461558,0,0
0,0,-0.0625,-0.270833282,0.037036807,0.033333606,0
0,0,0,0,0,0,0
0,0,0.266666667,0,0,0,0.04430407
0,-0.050000037,-0.210526316,0,0,0,0
0,0,0.266666667,0,-0.071428383,0,0
0,0,-0.157894737,0.428571399,0,0,0
0,0,0.1875,0,0,0,0
0,0,-0.157894737,-0.200000088,0,-0.016129216,-0.054545389
0,-0.013157883,-0.125,0,0,0,0
0,0,0.071428571,0,0,0,0
0,0,0.066666667,-0.150000009,-0.038461644,0,0
0,0,0,0,0,0,0
0,-0.013333322,0.1875,0.176470601,-0.119999986,0.032786924,0
0,-0.013513502,-0.052631579,0,-0.154545356,-0.031746068,0
0,0.013698618,0.111111111,0,-0.172043252,0,0
0,0,0.25,-0.150000009,0.298701301,0,0
0,0,-0.04,0,-0.199999821,0,0
0,-0.155405401,-0.041666667,-0.05882339,0,0,0
0,0,-0.086956522,0,0,0,0
0.2,0,0.095238095,0,0,0,0
0,0.119999946,-0.086956522,-0.062500072,-0.062500035,0,0
0,0,0.047619048,0,0,0,0
0,0,-0.045454545,0.066666748,0,0,0
0,0.0428572,0.142857143,0,0,0,0
0,0,0,0.124999914,-0.173333422,0,0
0,0.027397236,-0.166666667,0.055555623,0.016128917,0,0
0,-0.084000023,-0.05,-0.157894727,0.11111122,0.012295451,0
0,0.179039349,-0.052631579,0,0.285714571,0,0.025640887
0,-0.024691417,0.111111111,-0.062500072,-0.222222395,0,0
0,-0.091139281,-0.15,0.133333252,0.285714571,0.004048404,0
0,0,-0.117647059,0,-0.311111253,0,0
0,0,0,-0.176470601,0,0,0
0,0,0,0,0,-0.000489416,0
0,-0.043175426,0,0.071428665,0.129032241,0,0
