PRTG,INLX,LUMO,AMLI,LRMR,BACK,FNGR,HIVE,RVYL,GNPX,LFMD,GMGI,EP,SOBR,APCX,NTRP,FTFT,ZKIN,NVVE,FRES,MRIN,REPX,LDWY,BTOG,CYBN,DIT,NAII,NVNO,TC,BPTH,CREX,CCM,BCDA,ONCT,FCUV,HOFV,BWMX,ISDR,DSS,ALAR,DUOT,AIFF,EFSH,HYLN,CHRD,LIXT,MCRB,PHGE,CTGO,RDIB,ABVC,ADCT,ADV,AGMH,ICCH,INDV,ARMP,DTSS,LTBR,BLBX,BRTX,CHR,CLEU,CNF,COSM,EQS,DTST,ELVN,ESOA,FKWL,GREE,GYRO,HYMC,ICLK,ILLR,INTG,IOR,JSPR,KGEI,SYPR,INTZ,LITB,MAYS,MDJH,MGYR,MI,MIGI,NIXX,NMTC,CEAD,PMTS,POWW,PRPH,RETO,RIME,RZLT,SAVA,SBEV,SCWO,SGML,BYU,SLNH,SNES,SPI,PSHG,UK,VCNX,VIVK,VS,VTAK,WKSP,XHG,ZTEK,NISN,ZOM
-0.172727273,0.142857143,0.025125604,-0.080808094,-0.054263516,-0.075862051,-0.233333316,0,-0.111111091,0,0,0.24999995,0,-0.069767442,0.05921055,-0.009600835,-0.022727251,-0.002967356,0,0,0.006135012,-0.016949113,0,0.012254902,0,0.025866772,0.023230093,0.077477464,-0.037267066,-0.009162363,0.03973506,-0.03396225,0.015810236,-0.014084472,0,0,0,-0.00429178,0.022950897,0.07744105,12.4693873,0.692307626,0,-0.000995048,-0.023026294,0.076923077,-0.014367802,-0.00429178,0,0,-0.1,0,-0.036363602,0.041717177,-0.019494617,0.058315356,-0.027681716,-0.065420516,-0.022403189,0,-0.125,-0.004892368,0,-0.014893553,-0.053571484,-0.011627896,0.083333318,0,0,-0.008032121,-0.023255824,0.000526605,-0.00096345,0.044692802,0,0,0.039936101,0,0,0,0,0,0,0.07687069,0,0.045454545,-0.050000032,0,0.056034463,-0.014285739,0.051314077,0.016528909,0,0.055837563,0,0.153846154,-0.044032458,0,0,0,0.087248322,-0.055555556,-0.027118644,0.009852207,-0.024691318,0,0.0059289,0.059333377,0.040740729,-0.137931034,-0.016949137,-0.038430745,0,0.026109661,0.010101081
0.208791209,0,0.107843153,-0.065934037,0.032786853,-0.029850765,0.304347796,0,0,2.194444529,-0.07142859,0.199999968,0.29333332,0.125,4.279503304,-0.040816384,0,-0.014880939,0,0,-0.085365868,0,0.177215187,0.01694914,0,-0.012477174,0.038918882,-0.013377914,0.012903193,-0.035667068,0.012738841,0.085937454,0.044747142,-0.004761923,0,-0.000944292,0.003917767,0.050861998,0.012820493,-0.068750024,0.060606076,-0.045454503,0,-0.000996039,-0.067340083,0,-0.002915449,-0.024784515,0,0.014855704,-0.063492063,0,0.014150907,-0.006922391,0.022091325,-0.018367353,0.092526689,0,-0.031250019,0,-0.171428544,0.010816186,0,0.028077778,-0.066037676,-0.005882347,-0.076923064,0,0,-0.016194316,-0.039682536,-0.002105311,-0.001928611,-0.013368983,0,0,-0.016897101,0,0,0.019999981,-0.009836041,0.046728927,0,0.001263483,0,-0.002898506,-0.157894675,0.056,-0.008163258,-0.028985496,-0.047619004,-0.02439022,-0.016393496,-0.038461538,0.041666694,-0.066666667,-0.04363638,-0.344047615,0.111111084,0,0.061728395,-0.011764706,0.045296167,-0.004390275,0,0.003015055,0.025540206,-0.056639389,0.06761562,0.2,-0.017241363,0.040799334,0,0.003816833,0.029999911
-0.072727273,0,-0.097345146,0.05882356,-0.039682502,-0.058461507,0,0.111111141,0,0.652173913,-0.076923006,0,0,-0.111111111,0,-0.010638237,-0.069767443,-0.003021145,0,0,0.006666713,0,-0.075268853,-0.054761917,0,0,-0.039542157,-0.016949153,-0.012738822,-0.031506891,0.006289352,-0.064748176,0.003724338,-0.014354031,0,0,0,-0.001640648,0.053797449,0.033557048,0,0,-0.109090938,0,-0.061371869,0,0.008771921,0.005524862,0,0,0.016949153,0,0,0.028012986,-0.012968322,-0.106029103,-0.100977182,-0.009999975,-0.040860227,0,0.310344768,-0.04280157,0,-0.010504241,0,0.005917154,0,0,0,-0.037037099,0.024793399,0,0,-0.01897021,0,0,-0.021093785,0.003055021,0,0,-0.006622542,-0.02678569,0,-0.053627783,0,0.017441815,0.24999995,0,-0.0123457,0.044776133,0.022500008,-0.016666749,0.016666722,-0.05,-0.2,-0.142857143,0.026616035,0.488203292,0,0,-0.11627907,-0.023809524,-0.038333333,0.099951008,-0.012658247,-0.002004028,0.015325716,-0.119412976,0.193333308,-0.119047619,0.052631634,-0.0224,0.037037,-0.024081134,-0.077669871
0.176470588,0,-0.019607825,0.044444367,-0.016528909,-0.005719033,-0.011111101,0,-0.125000075,-0.263157895,0.1666666,-0.166666645,0,0,0,-0.002150587,0.024999976,0.036363674,0,0,-0.006622563,0,-0.034883727,-0.02267,0,0,0,-0.05344825,0.129032258,0,0,0.019230769,-0.011131745,-0.019417457,0,0,0.017560948,0.006573535,-0.030030025,-0.133116837,0,-0.285714307,-0.404081606,0.003988032,-0.046153804,0,0.020289835,-0.001098884,0,0,-0.2,0,0,-0.025348519,-0.013868583,0.060465099,0.050724676,-0.010101048,-0.004484301,0,-0.236842071,0.03658535,0,-0.008492561,-0.065656563,0.023529389,0.083333318,0,-0.013333321,0.051282106,-0.008064477,0,0,-0.005524883,0,0,0.014365547,0,0,-0.029411737,0.008333333,0,0,0.046666702,0.022727268,0.257142857,-0.050000032,0.068257573,-0.00416663,-0.028571416,0.025672332,0.016949238,0.010928906,-0.115789474,0,0.125,-0.045679055,0,0,0,0.223684211,-0.024390244,-0.221837088,-0.020044472,0.038461516,-0.001003975,-0.04150939,0.00757575,-0.006703869,0.043243243,-0.20000005,-0.018003273,0,-0.024675344,-0.017543843
0.25,0,-0.089999974,-0.010638241,-0.050420218,-0.022185637,0,0,0.14285724,-0.085714272,-0.142857094,0,-0.020618598,-0.025,0,0.012931023,-0.036585331,-0.01286554,0,0,-0.039999962,0,-0.012048222,-0.033505167,0,0.026322735,-0.066088807,-0.180327892,-0.080000015,-0.039603897,0.018749932,0.018867925,-0.069418332,-0.019802055,0,0.006616294,-0.018216715,0.010612254,-0.024767764,-0.033707921,0,0,-0.17808218,-0.003972191,-0.032258034,0,-0.110795417,-0.009901007,0,0,0.25,0,0,0.00065021,0.002960767,0.030701751,-0.086206894,0.010204121,-0.07207211,0,-0.241379319,0.004901961,0,0.021413255,0.124324269,0,0,0,0,-0.069105721,0.008130042,0,0.000966169,-0.011111153,0,0,0,0.003045716,0,0.060606002,-0.008264463,0.009174303,0,-0.076433122,0,0.090909091,-0.052631531,-7.09E-05,0.046025093,-0.044117659,-0.04648388,-0.016666749,-0.005405378,0,0,-0.170370384,-0.071151383,0,0,0,-0.043010753,0.1875,-0.204899777,-0.045454609,-0.012345698,0,0.356299173,0.015037639,-0.0247469,-0.010362694,0.187500012,0.002833354,0,-0.015978655,-0.035714252
-0.133333333,-0.125,-0.060439567,0.048387033,-0.026548647,-0.067226932,-0.269662936,0.100000024,0,-0.046875029,0.083333251,0,0,0,0,0.021276678,0.063291077,-0.046208502,0,0,-0.027777861,-0.034482817,-0.060975596,-0.023999973,0,0.036419581,-0.004640367,0.022222222,-0.062111802,-0.017673116,-0.012269927,0.029629601,0.048387075,-0.015151477,0,0,0,-0.03796448,-0.057142897,-0.073643398,-0.00285714,0,0,-0.000996937,-0.070833362,0,0.028753965,0,0,0,0,0,0.004651181,0.0019493,0.007380031,0.061702158,0.052830136,-0.020202033,-0.050970827,0,-0.227272722,0.003902454,0,-0.025157209,-0.014423064,0.011494242,0,0,0.081081083,0,-0.032258099,0,0,-0.154494335,0,0,-0.004720725,0,0,-0.028571403,0,-0.027272702,0,-0.042068957,0,0.020833333,-0.05555559,0.028368794,-0.079999987,0,0.062500014,0.059322081,0.076086914,0.113095238,0.050000032,0.160714305,-0.004178236,0,0,0,-0.011235955,-0.052631579,0.078431373,-0.067142819,0.03749998,0,0.02031932,0,-0.13494812,-0.041884817,0,-0.02359982,0,0.028416758,-0.085185244
-0.076923077,0,0.005847948,-0.076923006,0.0181818,0.018018087,0.076923098,0,0,0.04918036,0,0,0,0,-0.152941167,-0.031250019,0.011904822,-0.012422348,0,0,-0.007142794,0.071428623,0.064935049,0.051912539,0,-0.02239536,0.002331056,0.056521706,-0.059602667,0.019490302,-0.006211125,-0.025179816,-0.048076923,0.010256449,0,-0.000938972,0,0.019311545,-0.02356901,0.025104619,-0.025787941,-0.133333312,-0.15833336,0.000997932,0.031390104,-0.014285701,0,0.077777778,0,0,0,0,0,0.009727602,0,-0.008016048,0.738351244,-0.041237139,0.130434777,0,-0.117647084,-0.004859086,0,-0.019354871,0,0,-0.076923064,0,-0.02500005,0.074235842,0.008333359,-0.023734118,0,0.1328903,0,0,0,-0.003036468,0,0.009803912,-0.003333346,0.009345785,0,0,0,-0.165306091,0,0,0.060869575,0.015384641,0,0,0,-0.010695187,0,0,0.211188774,-0.085365868,-0.099999978,0,-0.028409091,-0.088888889,0.025974026,0.046452252,-0.03614456,0,0.190611592,0.074074,-0.053333282,0.016393443,-0.070175477,0.063829787,-0.071428609,-0.114473644,0.052631566
-0.041666667,0,-0.040697704,0.044444367,0.053571377,0.061946855,-0.142857094,0.181818113,0,0.234374997,0,0,0,-0.076923077,0,0.023655942,-0.023529459,0.025157208,0,0,0.014388475,-0.033333322,0,-0.038961039,0,0.031261766,-0.029069766,0.039094683,-0.007042236,-0.017647014,0,-0.066420706,0.03030303,-0.010152323,-0.499999857,0,-0.000390629,0.011532075,-0.068965504,-0.040816327,0,0,0,0.000498516,-0.039130398,0,0.024844697,0.010309278,0,0,-0.066666667,0,0,-0.00385353,0.0058608,0,-0.268041233,0,-0.072398228,0,-0.066666683,-0.000976548,0,-0.002192928,0,0.011363626,0,0,0,0,-0.016528911,0.001620783,0.000965236,0.017595376,0,0,0,0,0,-0.019417458,0,-0.027777751,0,0.043916477,0,0.215158898,0,0.24137931,-0.008196713,0.030303017,-0.047058847,0,-0.040404028,0.243243243,0,-0.176923092,-0.042725161,0.106666671,0,0,-0.023391813,-0.012195122,-0.055696203,-0.087804855,0.05000008,0,-0.113500601,-0.068965453,0.058450606,0.069892473,0,-0.004,-0.038461503,-0.093610739,-0.092307654
0.043478261,0,-0.012121201,-0.03723404,-0.050847411,-0.016666624,0.24999995,0.076923098,0,0.063291078,0,0,-0.126315812,0,0,0.081932741,0.144578322,-0.061349708,0,0,0.028368767,0.017241338,-0.036585291,-0.027027027,0,-0.043078057,0.001197518,0.207920792,0.028368813,-0.043413195,0.012499988,0.007905169,0.005882313,-0.046153827,0,0,-0.001563025,-0.035016235,-0.033333357,-0.106382979,0.095588177,0,0,-0.000498268,0.031674177,0.086956507,0.012121201,0.010204082,0,0,0.035714286,0,0,-0.016118633,0,0.030303001,0.045070447,0.487634467,0.007317125,0,-0.214285684,0.004887585,0,-0.0087912,-0.048780442,0,0.083333318,0,0,-0.008130073,0.050420189,0.003236217,0,0.017291022,0,-0.044499072,0,0.002030426,0,-0.049504963,-0.025083612,0.0190476,-0.026999982,0,0,0.056338012,0,0,-0.00413226,0.014705845,0.049382742,0,0.031578987,0.165217391,0,0,-0.031363116,-0.113253038,0.5555555,0,-0.023952096,0.061728395,-0.058981233,0.026737942,-0.02380956,0,0.010781703,0.037036941,-0.041916092,0.185929648,-0.056603723,0,0.039999962,-0.009836041,0.03389831
-0.041666667,0,0.006134963,0.121546965,0.026785689,-0.06779665,0.066666683,-0.07142859,0,0.077381024,0.076923098,0,0.138554234,0.083333333,0,-0.026990279,-0.052631592,-0.019607825,0,0,0,-0.016949113,0,0.036111125,0,0,-0.032296593,0,-0.02068969,-0.009389707,-0.043209883,0.082352956,-0.083820626,0.021505355,0,-0.003759419,0.002544006,0.009282671,0.003831385,0.014285678,-0.020134177,0,0,0,-0.013157882,0,-0.023952074,0,0,0,0,0,0,0.005897782,0,-0.023529401,0.072776274,-0.036140223,0.012106468,0,-0.090909111,0.001945496,0,-0.05543237,-0.123076925,0,0,0,0.025641079,-0.016393427,-0.02400001,0,-0.000964305,0.053824407,0,0,0,0,0,-0.010416657,0.024013749,0.009345785,0,0,0,0.161904762,0,0.638888889,0.029045648,-0.014492717,-0.035294153,0,0.01020403,-0.164179104,0,0.299065408,0.014943946,0.304347911,0,0,-0.012269939,0.011627907,0,-0.083333318,-0.060975627,0,-0.073333333,-0.071428507,-0.029166759,0.046610169,0,-0.020080321,-0.076923064,-0.033112582,-0.184426235
