PLX,SMTI,SCWO,EPM,CMCL,MANH,FCEL,XOMA,MYGN,ABEO,FSI,VGZ,DGX,LXU,MTH,ATLO,FNLC,FNWD
0,-0.090909091,-0.161290395,0.676923117,0,-0.073170732,-0.073313783,-0.021052632,-0.007758652,0.045454504,0,0,0.018939254,0,0.01910828,0,0,0
0,0,-0.230769242,0,-0.333333403,-0.065789474,-0.050632911,-0.048387097,-0.103388297,-0.07608689,0,0,0.011152158,-0.027026529,0.01875,0,-0.015873001,-0.022988292
0,-0.05,-0.19999989,0,0,0.007042254,0.123333333,0.039548023,0.063953436,-0.082352981,0,0,-0.014705838,0.083332857,0.030674847,0,0,0
0,-0.105263158,0,0,0.500000156,0.083916084,0.056379822,-0.065217391,0.052823328,-0.012820501,0,-0.25,0.001865629,0,0,0,0,0
0,-0.117647059,0,0,0,0.077419355,0.070224719,-0.023255814,0.100346044,0.025974002,0,0.333333333,0.026070834,0,0,0,0,0
0,0,0.249999828,0,0,0.02994012,0.060367454,0,0.157232738,-0.012658217,0,0,0.021778228,-0.128204791,0.023809524,0,0,0
0,0,0.300000018,0,0.333333194,0.063953488,-0.044554455,0.214285714,0.184782551,0.051282069,0,0,0.007104918,0,0.023255814,0,0,0
0,0,-0.346153862,-0.403669739,0,0.071038251,-0.005181347,0.088235294,0.018348628,-0.024390283,0,0.125,0.008818563,0,0.011363636,0,-0.006048209,0
0,0,0,0.053845975,0,0.510204082,-0.06640625,-0.076576577,0.052927902,0.006250057,0,0.111111111,0.010489478,0.11764717,0,0,0,0.023529187
0,0,0,-0.087591187,0.500000156,-0.047297297,0.026499303,0.16097561,0.098395747,0.031055872,0,0,0.006920256,-0.18421127,-0.016853933,0,0,0
0,-0.133333333,0,0,-0.333333403,-0.09929078,0,-0.058823529,0.013631941,0.277108485,1.500000136,-0.1,-0.029209641,0.064516243,-0.005714286,0,0,-0.011494241
0,0.076923077,0.411764807,0,0.25000036,-0.003937008,0.097826087,0.089285714,-0.106628234,-0.141509489,0,0,-0.019468724,0.060606236,0.011494253,0,0.014198709,0
0,0,0.083333282,0,0,0.019762846,0.034653465,0.135245902,0.015053767,-0.032967004,-0.666666658,0,0.007219691,0.028572038,0,0,0,0
-0.25,-0.142857143,0,0,0,-0.015503876,0.045454545,0.083032491,0.100635579,0.045454504,0,0,0.008960657,0.027777252,0,0,0,0
0,-0.166666667,0,0,0,-0.031496063,0.041189931,0.28,0.193455257,0.293478332,1,0,0.00355253,0.081080659,0.011363636,0,-0.015999755,0
0,0,0.076923174,0.744000233,0,0.044715447,-0.050549451,-0.114583333,-0.071774236,0.10924368,0,-0.111111111,-0.021238736,0,-0.011235955,0,0.01625991,0
0,0,0.28571423,0,0,0.003891051,0.194444444,-0.158823529,-0.114682856,0.106060585,0,0.125,0.019891404,0.100000242,0.017045455,0,-0.023999861,0
0,0.2,0,0,0.19999978,-0.034883721,0.100775194,0.090909091,0.028950007,-0.013698618,0,0,0.007092248,0,-0.016759777,0,0,0
0,-0.166666667,-0.111111145,0,0,0.024096386,-0.056338028,-0.057692308,0.098593113,0,0,-0.111111111,-0.012324292,0,0.011363636,0,0,0
0,0.1,0,0,-0.166666514,0.003921569,0.001865672,-0.006802721,0.055670166,-0.006944438,0,0,-0.001782207,0.022727703,-0.011235955,0,0,0
0,1.090909091,-0.156249968,0,0,0.015625,0.012104283,-0.054794521,-0.032072348,-0.132867152,0,0,-0.02500021,0,0.028409091,0,0.024590018,0
0,-0.043478261,0.203703749,0,0,0.042307692,0.100275989,0.072463768,0.050127424,-0.032258036,-0.75,0,0.005494381,0.022221862,0,0,-0.023999861,0
0,0.090909091,0.046153844,0,0.19999978,0.10701107,-0.026755853,0.081081081,-0.021844638,0.066666689,0,0,0.045537329,0,-0.033149171,0,0.024590018,0
0,0.041666667,0.058823491,0,-0.166666514,0.046666667,0.008591065,0.1125,-0.058726204,0.195312473,0,0,0.003485213,-0.043478326,0.005714286,0,-0.039999616,0
0,0.04,0,0.146788837,0,0.025477707,0.189097104,0.185393258,0.055360261,0.254901989,0,0,0.024305262,-0.022726914,0.034090909,0,0,0
0,0.384615385,0.555555522,0,0.39999986,0.111801242,-0.011461318,0.123222749,0.088259745,0.156249958,0,0,0.045762935,0.023255438,-0.032967033,0,-0.016666702,0
0,-0.083333333,-0.071428529,0.500000045,0.142856928,0.05027933,-0.092753623,-0.139240506,0,-0.090090099,0,0,-0.043760334,-0.204545383,0,0,0,-0.046511483
0,-0.151515152,0.038461514,0.146666396,0.25000036,0.015957447,0.044728435,0.058823529,0.061974026,-0.198019774,0,0,0.00847411,0.08571498,0,0,0,0.060975435
0,0.035714286,0.055555556,0,0.09999974,0.005235602,-0.02293578,-0.064814815,0.324927993,0.271604872,0,0,0.010084206,-0.052631624,-0.022727273,0,0,0
0,-0.206896552,-0.105263158,0,0,-0.09375,0.057120501,-0.02970297,-0.129962012,-0.10679612,0,-0.125,-0.019966531,-0.027778354,0.005813953,0,0,0
0,0.260869565,0.117647059,-0.465116146,0.090909149,-0.08045977,-0.011102887,-0.12244898,-0.179999961,-0.040760807,0,0.142857143,-0.003395643,-0.028570904,0.005780347,0,0,0
0,-0.034482759,-0.105263158,0.630434761,-0.249999896,-0.1875,-0.097305389,-0.098837209,-0.011814065,-0.002832887,0,0,-0.025553686,0,0,0,0,0
0,-0.178571429,-0.058823529,-0.360000155,0,0.115384615,-0.102819237,-0.04516129,-0.107982954,-0.272727252,3,-0.125,0.01223762,-0.058823585,-0.005747126,0,0,-0.057471109
0,0.217391304,-0.166666641,-0.041666422,0.222221987,0.096551724,0.01663586,0.081081081,0.015131735,0.007812493,0,0,0.084628732,0.031249334,0.005780347,0,0,0
0,-0.178571429,-0.299999991,0.043477994,-0.090908876,0.031446541,0.103636364,0.0125,0.056218131,-0.007751931,0,0.142857143,0.011146622,-0.151514801,0.022988506,0,0.016949189,0
-0.416666667,0,0.28571423,0,0,0.222560976,-0.044481054,-0.111111111,-0.225806446,-0.06250002,0,0,-0.042519898,-0.07142866,0.02247191,0,0,0
0,0.086956522,-0.222222188,0.041666888,-0.10000004,-0.027431421,-0.075862069,-0.0625,-0.352604188,-0.099999992,0,0,-0.059210356,0,-0.043956044,0,0,0.024390315
0,-0.12,0.142857049,-0.127999883,-0.111111327,-0.01025641,0.044776119,0.155555556,0.115848781,-0.037037096,0,0,0.036713209,0,0.022988506,0,-0.11666656,-0.023809592
0,-0.227272727,-0.124999928,0,-0.124999836,-0.020725389,0.1875,0.051282051,-0.1009372,0.019230849,0,-0.125,-0.008431644,-0.07692318,0,0,0.132075335,0
-0.428571429,-0.117647059,0,0,0,0.058201058,0.012030075,-0.115853659,-0.034482844,0.05660372,0,0.142857143,-0.025509957,0.166666908,-0.005617978,0,0,0.036585422
0,0,0,0.10091705,0,0.08,-0.02526003,0,-0.061461752,0.142857194,0,0,-0.010471656,-0.107142282,-0.005649718,0,0,0
0,0,0,-0.220833304,-0.142857214,0.115740741,-0.030487805,-0.034482759,-0.092035474,-0.093750069,0.150000029,-0.125,0.063492585,0,0,0,0,0
0,0,0,0.165775761,0,0.058091286,-0.05581761,-0.107142857,-0.113060393,-0.068965458,-0.565217402,0.142857143,-0.018242359,0,-0.011363636,0,-0.008334035,0
0,0,0,0.431192627,0,0.017647059,-0.017485429,-0.072,-0.131868087,0.055555504,0,0,-0.001689419,0,0,0,-0.008402696,0
0,-0.2,-0.035714328,-0.198718037,-0.166666514,0.055876686,0.061016949,0.068965517,0.220253117,-0.023063448,1.300000057,-0.125,0.076142419,0.03999923,-0.08045977,-0.057692504,0,-0.105882414
1,0,0.037037082,0,0.19999978,-0.072992701,-0.10543131,-0.096774194,-0.219916989,0.045045045,0,0.142857143,0.001571853,0,0,0.112245209,-0.002568554,0
-0.625,-0.083333333,-0.035714328,0.371999714,-0.166666514,-0.208661417,-0.028571429,-0.0625,-0.023603761,-0.034482759,0,0,-0.036106436,-0.192307186,0,0.021364332,0,0
0,-0.272727273,0.037037082,-0.090378719,0.19999978,0.231343284,0.007352941,0.028571429,0.175348931,-0.017857143,0,0,0.045602405,0,0,0,0,0
0,0.375,-0.214285705,0,-0.166666514,-0.070707071,0,0.185185185,0.371958348,0.054545455,0,-0.25,0.03271053,0.214285453,0,0,0,0
1.666666667,0,0.09090903,0,0,0.034782609,-0.01459854,0.171875,-0.087837801,0.00862069,0,0.166666667,0.01357471,-0.098038966,0.025,0,0,0
0,-0.090909091,-0.166666718,0,0,-0.025210084,-0.07037037,-0.14,-0.18518522,-0.008547009,0,-0.142857143,-0.011904844,0,0.073170732,0,0.030042922,0
0,-0.2,0,0,0,-0.109913793,-0.052788845,-0.027131783,-0.004545456,-0.051724138,0,0.166666667,0.010541627,0.130434005,0.022727273,0,0,0
0,0.25,0.100000128,0,0,0,-0.041009464,-0.171314741,-0.057077639,-0.090909091,0,0.142857143,0.004471373,0,-0.044444444,0,0,0
0,-0.2,-0.136363629,-0.198718037,-0.20000023,-0.070217918,-0.14254386,0.038461538,0.026634389,-0.04,0,-0.125,0.013353343,-0.153846359,0.034883721,0,-0.033333396,0
0.5,0.125,-0.10526328,-0.127999883,0,-0.135416667,-0.301790281,-0.148148148,-0.162735808,-0.041666667,0,0,0.042459866,0.090909234,-0.033707865,0,0,0.078947383
0,-0.222222222,-0.05882339,0.146788837,0.25000036,-0.048192771,0.054945055,-0.02173913,-0.064788745,-0.141304348,0,0,0.129213511,-0.0416659,-0.023255814,0,0.034482826,0
0,0.428571429,0.062499843,-0.127999883,-0.20000023,0.167721519,0.107638889,0.244444444,0.231927656,0.050632911,0,0,0.114427388,0,-0.011904762,0,0,0
0,-0.2,0,0,0,0.08401084,0.006269592,-0.053571429,-0.019559825,0.036144578,0,-0.142857143,-0.016741268,0.217390583,-0.030120482,0,-0.016666492,0
0,-0.125,-0.176470601,0,0,-0.1175,-0.010903427,-0.122641509,-0.001246925,-0.023255814,0,0.166666667,-0.026106063,-0.178570942,0,0,0.016948972,0
0,0,0,0,0,0.127478754,-0.067716535,-0.075268817,-0.051185986,-0.011904762,0,0.142857143,0.002330948,0.043477427,0,0,-0.016666492,0
0,0,0,-0.215596365,0,-0.025125628,0.101351351,-0.25,0.076315714,-0.048192771,-0.130434804,-0.25,0.06511579,-0.0416659,0.142857143,0,0,0
0,0,0,0.315789395,0,-0.046391753,-0.016871166,-0.054263566,0.017115001,-0.037974684,0,0,0.030567948,0.391303846,-0.059782609,0,0,0
0,0.285714286,-0.214285733,-0.306666611,0,0.037837838,0.023400936,-0.06557377,0.04086531,0,0,0.333333333,0,-0.156250855,0.005780347,0,0.016948972,0
0,-0.222222222,-0.090908879,0,0,0,-0.006097561,0.140350877,0.18937641,-0.039473684,0.249999939,-0.125,-0.01377125,-0.037036377,0.011494253,0,0,0
0,0.285714286,-0.10000011,0,0,-0.03125,0.012269939,0.046153846,0.273786479,0.01369863,0,0,0.015037678,0,0.079545455,0,0,0
0,-0.444444444,0,0,0,-0.177419355,0.03030303,0.044117647,-0.015815597,0,0,0.142857143,-0.013756846,-0.192307186,-0.015789474,0,-0.033333396,0
0,0,0,0,0,0.196078431,-0.042647059,-0.056338028,-0.035043474,-0.040540541,0,0,-0.033261602,0.142856299,-0.016042781,0,0.017241626,0
0,0,0.222222087,0,0,-0.010928962,-0.056835637,0.044776119,0.067415741,0.169014085,0,0,0.007769188,0,0,0,0,0
0,0,0,0.198717607,0,0.005524862,0.034201954,0.085714286,0.057142765,0.012048193,0,0,0.050660594,0,0,0,0.008474276,0.036585422
0,0,0,0,0,0.008241758,-0.039370079,-0.078947368,-0.064722609,0,0,0,-0.004192944,0,0,0,0,-0.011764691
0,0,0,0,-0.249999922,0.008174387,-0.016393443,-0.014285714,-0.081368814,-0.023809524,0,-0.125,0.014736926,0,0.02173913,0,0,-0.011904944
0,0,-0.181818091,0,0.666666973,0,-0.021666667,-0.072463768,-0.140728508,-0.048780488,0,0.142857143,-0.022821635,-0.083333454,-0.015957447,0,0,-0.01204808
0,0,0.111111247,-0.165775163,-0.20000023,0.016216216,0.032367973,-0.0234375,0.078998094,0.025641026,0,-0.125,0.054140122,0,0.005405405,0,0,0
0,0.6,0,-0.198718037,0,-0.125,0.052805281,0.04,0.108928538,-0.05,0,-0.142857143,0.079557135,0,-0.005376344,0,0,0
0,0,0,0,0,0.14893617,0.02507837,0,0.083736041,-0.105263158,0,0.166666667,-0.007462812,0,-0.005405405,0,0,0
-0.333333333,-0.125,0,0,0,-0.047619048,-0.003058104,0.023076923,0.081723588,0.014705882,0,0,0.048871888,0,0.010869565,0,-0.008403067,0
0,0,1.099999744,0,0,-0.038888889,0.003067485,-0.037593985,-0.028159461,-0.130434783,0,0,-0.026881328,0,0.021505376,0,-0.016949391,0
0,0,0.142857143,0,0,-0.106936416,-0.012232416,-0.0234375,-0.021201372,-0.133333333,0,0,-0.043278301,0,-0.010526316,0,0,0
-0.75,0.571428571,-0.208333282,0,0,0.084142395,-0.003095975,-0.016,-0.112635312,0,0,-0.142857143,-0.051010233,-0.045453716,-0.015957447,0,0,0
0,0.181818182,0,0.495999738,0,0.044776119,-0.007763975,-0.056910569,-0.041497133,0.115384615,0,0,-0.009128346,0.047618137,0,0,0,0
0,-0.307692308,0.052631447,0,0,-0.102857143,-0.025039124,-0.034482759,-0.090831963,0.034482759,0,0.166666667,-0.006140866,-0.090909291,0.010810811,0,0.008620935,0
0,0.111111111,0.050000064,-0.331550685,0,0.076433121,0.027287319,-0.035714286,0.098039206,0,0,0,0.118434636,0.300000601,-0.021390374,0,0.020298691,0
0,0.3,0,0,0,-0.085798817,0.01875,0,-0.070578219,-0.066666667,0,0,0.020257949,-0.230769587,0,0,-0.019894852,0
0,0,0,0,0,0.01618123,-0.042944785,-0.027777778,-0.033851761,0,0,-0.142857143,0.023465378,0.050001144,-0.076502732,0,0.025640843,0
0,0,0,-0.255999901,0,-0.031847134,0.075320513,0.042857143,0.103219557,-0.035714286,0,0,-0.03350971,0,0.017751479,0,0,0
0,-0.153846154,0,0,0,-0.016447368,0.034277198,-0.068493151,0.083261973,-0.018518519,0,0,-0.020072827,0.333332625,0.029069767,0,-0.008333452,0
0,0,0,0.677419316,0,0.10367893,0.112391931,0.058823529,0.001584733,0.018867925,0,0.166666667,0.024208679,-0.14285732,0,0,0.008403482,0
0,0.181818182,0,-0.198718037,0,-0.012121212,0.028497409,0.222222222,0.056962037,0.074074074,0,0,-0.029090746,-0.083333454,0.039548023,0,0,0
0,0,0,0,0.25000036,0.030674847,-0.011335013,0.015151515,0.091317333,0.068965517,0,0,-0.050561893,-0.090909291,-0.010869565,0,0,0
1,-0.230769231,-0.047619106,0,-0.20000023,-0.107142857,0.100636943,0.28358209,0.206447166,0.161290323,0,0,-0.024655166,0,-0.010989011,0,0,0
0,0,0,0,0.25000036,0.12,-0.034722222,0.104651163,0.002842544,-0.055555556,0,0,-0.013144412,0,0.011111111,0,-0.016666492,0
0,0.3,-0.19999989,0,0,-0.029761905,0.009592326,-0.094736842,0.037415013,-0.058823529,0,0,-0.009221386,0,0,0,0.025423189,0
0,-0.230769231,0.749999943,0,-0.20000023,-0.039877301,-0.033254157,0.034883721,0.139344196,0,0,0,0.01861434,0,-0.010989011,0,0,0
0,0.4,0.178571377,0,0,-0.009584665,0.012285012,-0.06741573,-0.053237407,-0.03125,0,-0.142857143,-0.029441556,0,0.011111111,0,0,0
0,0,-0.090909091,0,0,0.048387097,0.024271845,-0.030120482,-0.031914884,-0.032258065,0,0.166666667,0.020920438,0,0.010989011,0,0,0
0,0,0.133333374,0,0,0.015384615,-0.021327014,-0.062111801,-0.004186291,-0.066666667,0,-0.142857143,0.043032453,0.100000242,0,0,0,0
0,-0.285714286,-0.0294118,0.248000137,0,-0.03030303,0.004842615,-0.039735099,-0.01576455,0,0,0.166666667,0.015717206,0.090909234,0.010869565,0.022507981,-0.0165287,0
0.25,0,-0.090909091,0,0,0.00625,-0.018072289,0.020689655,0.155365664,-0.107142857,0.080000063,-0.142857143,0,0,-0.005376344,0,0,0
0,0,0,-0.40384614,0,0.090062112,0.042944785,0.101351351,0.069316005,0,0,0,0.081238376,0,0,0,0,0
0,0,0.266666626,0,0,0.037037037,0.094117647,-0.049079755,-0.03197918,-0.04,0,0.166666667,0.065742318,-0.124999354,0.010810811,0,0,0
0,0.2,0.052631645,0,0,0.076923077,0.120430108,-0.070967742,0.022321464,0.125,0,-0.142857143,-0.011330279,-0.047620085,-0.053475936,0,0,0
0,0.166666667,-0.175000025,0.344085842,0,-0.101403139,-0.013435701,-0.083333333,-0.063755501,-0.037037037,0,0,-0.033956021,0.050001144,-0.011299435,0,0,0
0,-0.071428571,0.257575795,0,0,0.050390439,-0.071984436,0.045454545,-0.04944028,0,0,0.166666667,-0.015817211,0,0,0,0,-0.006097654
