LOB,CLF,WMS,FCX,HASI,CHRD,PRTG,SOBR,INLX,RDFN,SQ,AMRC,DAC,UEC,BLNK,RIOT,AMLI,BEEM,JMIA,TPIC,COOP,HOV,LNW,RICK,LUMO,BACK,FNGR,RVYL,ABAT,PLUG,APPS,ENPH,BE,PENN
-0.006376174,0.007662814,0.012603102,0.001556523,-0.001189567,-0.023026294,-0.172727273,-0.069767442,0.142857143,-0.028901688,-0.0020138,-0.005030105,-0.024082598,-0.022471889,-0.042056144,0.020979085,-0.080808094,0.098795161,-0.065806481,0.010319365,0.018684604,0.025359579,-0.026881721,0.004282566,0.025125604,-0.075862051,-0.233333316,-0.111111091,0.035714324,-0.004773265,-0.009162264,0.021732082,0.046336241,-0.010277901
-0.00588235,-0.039290235,0.01268546,-0.046620049,0.025900393,-0.067340083,0.208791209,0.125,0,0.022533961,-0.015422308,0.012133456,-0.105757916,-0.022988484,0.024390221,-0.041095932,-0.065934037,0.030858401,0.157458616,0.019455235,0.0088041,0.039867107,-0.060405135,0.003198228,0.107843153,-0.029850765,0.304347796,0,-0.293103441,0.035971245,0.001320971,-0.00761904,-0.058702337,-0.03153845
0.009682695,0.022427464,0.00378157,0.004074934,-0.002611809,-0.061371869,-0.072727273,-0.111111111,0,0.018295241,0.005562947,-0.008991024,-0.053876573,-0.011764764,-0.023809502,-0.042857103,0.05882356,-0.065947428,-0.029832935,-0.00524803,-0.031272749,0.024849157,0.021952154,0.009032859,-0.097345146,-0.058461507,0,0,-0.219512225,-0.062499993,-0.073878621,0.011516334,0.015317219,0.003177122
0.04954713,-0.038709694,0.009418673,-0.028409009,-0.006400659,-0.046153804,0.176470588,0,0,0.018783217,0.008734873,-0.002520123,0.018055609,-0.011904751,0.03414631,-0.059701523,0.044444367,-0.045062625,0.031980348,0.015827334,-0.015015001,0.083131263,0.007671683,-0.003159493,-0.019607825,-0.005719033,-0.011111101,-0.125000075,0.250000078,-0.029629659,0.029914535,0.014231462,-0.012931023,0.025336476
-0.055329936,-0.009395925,-0.013062962,-0.010860556,0.000878605,-0.032258034,0.25,-0.025,0,0.002003977,0.026699357,0.017685622,-0.046384809,0,-0.037735815,0,-0.010638241,-0.012606454,-0.013110918,-0.02077434,-0.019817091,-0.052766217,-0.020555802,-0.02535646,-0.089999974,-0.022185637,0,0.14285724,-0.1,-0.00763358,-0.009681905,0.019644561,-0.009825344,0.002316582
-0.012358921,-0.020325212,0.005672447,-0.079391917,-0.009655041,-0.070833362,-0.133333333,0,-0.125,-0.013600006,-0.00126506,-0.001489512,-0.064377681,-0.012048182,-0.044117606,-0.015873001,0.048387033,0.067977925,-0.11473428,-0.056894904,-0.001555171,0.00202564,-0.0139914,-0.017344544,-0.060439567,-0.067226932,-0.269662936,0,0.02777775,-0.023076962,-0.020949668,-0.084097857,-0.087100329,-0.020801195
-0.005984867,-0.009681898,-0.003290279,0.036697281,0.018906968,0.031390104,-0.076923077,0,0,0.010543399,0.05277973,-0.001989106,0.027522995,-0.048780514,0,0.056451559,-0.076923006,0.063004824,-0.031377902,0.050613487,-0.003894096,0.056603783,-0.005124204,0.007722275,0.005847948,0.018018087,0.076923098,0,-0.054054109,0.070866138,-0.017118453,0.076460797,0.042270579,0.031077852
-0.024630615,0.004189932,0.004008501,-0.000884929,0.012177681,-0.039130398,-0.041666667,-0.076923077,0,0.002407683,0.018181826,-0.017438983,-0.019345222,0.025641079,-0.008717989,0,0.044444367,0.055623128,-0.08450703,0.008759139,-0.017200959,-0.03698979,0.008320166,0.009852329,-0.040697704,0.061946855,-0.142857094,0,-0.028571403,-0.009803912,-0.020319284,0.009925548,-0.025492499,0.107211044
0.003928247,0,0.004696944,0.002657138,-0.006302175,0.031674177,0.043478261,0,0,-0.025220143,-0.000787883,-0.011663263,-0.083459704,0.012499988,-0.006725303,0.091603061,-0.03723404,-0.062050133,-0.073846157,-0.012783377,0.021479751,-0.007947075,0.007858501,0.021679975,-0.012121201,-0.016666624,0.24999995,0,-0.029411737,-0.012376226,-0.044444473,0.028562662,-0.023781191,0.063749151
-0.022917878,-0.023643907,-0.028283993,-0.019434549,-0.017295927,-0.013157882,-0.041666667,0.083333333,0,-0.000821374,-0.018528201,-0.01539247,-0.071192104,0.024691334,-0.015624985,-0.055944005,0.121546965,-0.009976985,-0.003322256,0.013926208,-0.035825548,-0.146862475,-0.031578927,-0.059416247,0.006134963,-0.06779665,0.066666683,0,-0.060606062,-0.030075219,-0.032558146,-0.058823563,-0.040194875,-0.033689695
