FCEL,XOMA,MYGN,AVDL,MBOT,PLX,EPM,CMCL,MED,SGRP,PPBI,WYY,SMTI,SCWO,OMEX,CLWT,MANH,EZPW
0.023400936,-0.06557377,0.04086531,0.153846154,-0.015625,0,-0.306666611,0,1,0,0.040000163,-0.041666667,0.285714286,-0.214285733,-0.058380446,-0.055555433,0.037837838,0.056603757
-0.006097561,0.140350877,0.18937641,0.2,0.126984127,0,0,0,-0.416666659,-0.024390244,0.076923185,-0.028985507,-0.222222222,-0.090908879,-0.031999985,0,0,0.071428279
0.012269939,0.046153846,0.273786479,0.027777778,0.204225352,0,0,0,0,0.175,-0.0178573,-0.014925373,0.285714286,-0.10000011,-0.064049623,0.058823393,-0.03125,-0.1
0.03030303,0.044117647,-0.015815597,0.027027027,-0.076023392,0,0,0,0,0,0,0.060606061,-0.444444444,0,0.0342164,0.138888893,-0.177419355,0
-0.042647059,-0.056338028,-0.035043474,-0.092105263,-0.126582278,0,0,0,0,0,0,-0.028571429,0,0,-0.066168659,-0.02439022,0.196078431,-0.055555556
-0.056835637,0.044776119,0.067415741,0.043478261,0.072463768,0,0,0,0,-0.191489362,0.018181981,-0.029411765,0,0.222222087,0,0,-0.010928962,0.058823529
0.034201954,0.085714286,0.057142765,0.333333333,0.054054054,0,0.198717607,0,0.142857236,0,0,0.060606061,0,0,0.035428547,0.024999975,0.005524862,-0.055555556
-0.039370079,-0.078947368,-0.064722609,0.166666667,-0.025641026,0,0,0,0,0.052631579,-0.053571722,-0.028571429,0,0,-0.172185411,0.121951343,0.008241758,-0.019607544
-0.016393443,-0.014285714,-0.081368814,-0.089285714,-0.052631579,0,0,-0.249999922,0,0,0.056604101,-0.014705882,0,0,0,0.065217267,0.008174387,-0.080000586
-0.021666667,-0.072463768,-0.140728508,-0.147058824,-0.069444444,0,0,0.666666973,-0.125000071,0,0,-0.014925373,0,-0.181818091,-0.125333309,-0.142857056,0,-0.086956219
0.032367973,-0.0234375,0.078998094,0.091954023,-0.014925373,0,-0.165775163,-0.20000023,0.142857236,0,0.142856973,-0.106060606,0,0.111111247,0.237804899,0.095238112,0.016216216,-0.047619411
0.052805281,0.04,0.108928538,-0.015789474,0.03030303,0,-0.198718037,0,-0.125000071,0,0,0.152542373,0.6,0,0.15394088,-0.086956536,-0.125,-0.150000057
