EPM,MED,SMTI,SCWO,MANH,TENX,FCEL,VGZ,DGX,LXU
0,0,0.230769231,-0.2048193,0.035135135,0.037037037,-0.027253669,-0.142857143,0.012499856,0
-0.255999901,0,0.0625,0.060606024,0.046997389,-0.089285714,0.075431034,0.166666667,-0.001763488,-0.047620085
0,0,0.117647059,0,-0.002493766,0.039215686,0.03006012,0,0.023852134,0
0,0.499999858,-0.052631579,0,0,-0.018867925,0.097276265,-0.142857143,0.000862277,0
0,0,-0.055555556,0,0,0,-0.020390071,0,0.031035007,0.200000422
0,0,-0.058823529,-0.057142824,-0.02,-0.076923077,0.038914027,0.166666667,-0.00836174,0.166666908
0,0,0.375,0,0.06122449,0,0.020905923,-0.142857143,0.022765447,0
0,0,-0.272727273,0,-0.009615385,0.020833333,0.013651877,0.166666667,0.024732098,0
0,0,0.3125,0.075757613,-0.048543689,0.12244898,0.033670034,-0.142857143,0.012872367,0
0.677419316,0,-0.238095238,-0.154929607,0.030612245,-0.054545455,-0.035830619,0.166666667,0.029387947,0.089285515
0,0,0.0625,0.3,0.064356436,0,0,-0.142857143,0.148148116,0.377048701
-0.198718037,-0.33333327,0,-0.05128202,0.093023256,0,0.0625,0.166666667,0.049731076,0.095238382
0,0,0,-0.054054118,0.017021277,0.346153846,-0.031796502,-0.142857143,0.012804421,0
0.040000115,0,-0.058823529,-0.02857136,0.150627615,-0.057142857,0.011494253,0,0.051201127,-0.043478326
0.2,0,0,0.029411692,0.089090909,-0.03030303,-0.077922078,0,0.029464602,0.045454617
0,0,0.0625,0.142857218,-0.060100167,-0.0765625,0.040492958,0,-0.037966684,0
0,0,0.117647059,0.124999966,-0.13321492,-0.035532995,-0.052453469,-0.166666667,-0.020643838,-0.043478326
-0.198718037,0,-0.210526316,0.088888916,0.077868852,0.087719298,-0.020535714,0,0.011778552,0
0.248000137,0,0,-0.081632676,-0.091254753,0.096774194,0.00911577,0.2,-0.017768991,0
0,0,0,-0.222222249,0.110878661,0.029411765,-0.019873532,-0.166666667,0.014347892,0
-0.166666667,0,0,0,0.080979284,0.028571429,0.017511521,0.2,-0.028905047,0
0,-0.250000071,0,0.142857218,0.146341463,-0.069444444,0.072463768,0,0.033564851,-0.04545473
0,0.500000142,0.2,0.099999936,-0.030395137,-0.044776119,0.027027027,0,0.004289632,0
0,0,-0.166666667,-0.181818159,-0.047021944,-0.09375,0.019736842,-0.166666667,-0.012812472,-0.047619073
0,0,0,-0.055555522,0.001644737,-0.112068966,-0.047580645,0.2,-0.001854221,0
0.307692122,-0.111111111,0,0,0.060755337,0.009708738,0.0042337,0,0.047677789,-0.049999098
-0.264705859,0,-0.066666667,0,0.034055728,0.080769231,-0.080944351,0,-0.054372854,0.05263058
0,-0.187500036,0.071428571,-0.0294118,-0.023952096,-0.003558719,0.047706422,-0.166666667,0.029999597,0
