MANH,FCEL,AXTI,SRDX,FORR,EGY,VGZ,USPH,CPSS,NVO,UHS,CBRL,BKH,VTR,ESE,UNH,OKE,TJX,ALB,EMR,SOTK,ELSE,LXU,NVEC,CNX,PLX,EPM,MED,ENSV,RDNT,COR,EHC,WRB,HUM,SKYW,LH,MD,DVA,MTH,PXLW,CRK,EOG,PTEN,RRC,NOV,XOMA,MYGN,REGN,VRTX,CLDX,AVDL,MBOT,CDMO,ABEO,ASYS,EXC,PPL,CNP,THC,D,CB,ORI,AJG,ALL,STT,SMTI,SCWO,CMCL,OMEX,CLWT,EMKR,CIEN,CHKP,JNPR,NTAP,TENX,CVV,ALNT,RAND,WILC,DGX,COLM,TTEK,TK,FL,FSI,MET,MO,IDA,RNR,EG,SEIC,NVR,LEN,TOL
-0.01369863,0.229508197,0.003802281,-0.006993007,-0.028037415,0,0.333333333,0,0,-0.015843143,-0.02595567,0.034246996,0.017143378,0,0.023809388,0.008474389,0.012106378,-0.032786565,0.003449018,0.0249224,0.0625,0,0,0.124999856,-0.016043218,5,0.089743435,-0.083333294,0,0,0.002941297,-0.027777677,0.009646605,-0.07246384,0.037773831,0,-0.018518519,-0.32173904,-0.032051282,0,0.02083341,0.003662613,0.04435494,0.01960774,0.107407753,0.352112676,-0.030442781,-0.044117647,-0.005891016,0.015625,-0.020833333,0.142857143,0.009523768,-0.007874009,0.058441558,0.018241769,0.005464731,0.008174028,-0.034964974,0.016541028,0.029315943,0,-0.001040688,-0.020779288,-0.001634016,0.5,2.142856769,0,0,0.040000059,0.016741206,-0.020627803,-0.005416559,0.002105354,-0.081481346,-0.037037037,0.4,-0.071429097,0,0.220339056,-0.005917494,0.046980085,0.030162648,-0.003788191,-0.009258998,0,0,0.016304615,0.032397146,-0.012307451,-0.014184397,0.002266968,0,-0.007604548,0.016834986
0.027777778,0.333333333,0,-0.002347418,-0.105769019,0,-0.25,0,-0.035714286,0.024620839,0.077138872,0.033112367,0.008427118,-0.015384572,-0.009302382,0.025210153,0.00717717,0.003389659,-0.013746294,-0.020263902,0,0,0.157893892,-0.111110997,0.027174082,-0.333333333,-0.047058881,-0.22727292,0,0,-0.052786155,-0.057142917,-0.054139148,-0.03125002,-0.015325694,-0.017857078,-0.081761006,0.089743394,-0.046357616,0,-0.020408237,-0.021897281,0.046331422,-0.038461575,-0.013378211,-0.09375,0.050428079,-0.061538462,0.04962963,0.230769231,-0.223404255,0.791666667,0.056603788,0,0.042944785,-0.014657701,0.005434914,-0.010810392,0.024154509,0.004437307,0,-0.019138918,-0.001041903,0.00795743,-0.005728596,-0.083333333,0.09090903,0,0,-0.153846088,0.051591587,0.076007326,0.002074657,-0.017331892,0.059907809,-0.038461538,0.142857143,-0.076922806,0.05357142,0.222222183,0.00595272,-0.019230764,0.022522503,-0.011406281,0,0,0,-0.034091834,0.154811853,-0.003115252,0,0.008201496,0.010471204,0.00766282,-0.026490169
0.023648855,0.12,-0.007575758,-0.044705882,0.056451435,0,0.333333333,0,-0.037037037,-0.001848043,0,0.025640864,0.038996893,-0.015624676,-0.018779458,-0.04303311,0.047505542,-0.067567529,0.013937888,-0.006204171,0.137254902,0,0,0,0.005290969,0,-0.074073962,0,-0.167999975,0,-0.046439375,0.030303016,-0.02356953,0.008064235,-0.01167324,0,0.01369863,0.082353315,-0.013888889,0,0.166666812,-0.029850668,0.092251238,-0.059999814,0.098305195,-0.022988506,0.014492819,-0.040983607,0.110797459,0.125,0.260273973,-0.046511628,0.714285644,0.134920676,0.005882353,0.028099286,0.021621909,0.00819675,-0.047169765,-0.002944655,0.015823468,-0.004878377,-0.046923781,-0.010526145,0.013169325,0.454545455,0.125,0.500000156,0,0.454545169,0.024008322,0.005106383,0.021997961,0.282201751,0.018478174,0.08,0.28125,-0.083333015,-0.016949192,0.136363641,0,0.019607838,0.026431638,0.003845883,-0.018692107,0,0,-0.025604626,0.10869555,0.01874953,0.019184652,0.008134906,0.006476684,-0.007604548,-0.027210993
-0.036303824,-0.178571429,-0.038167939,0,0.170483638,-0.052276609,-0.125,0.041666459,-0.038461538,-0.022222244,0,-0.006249961,0.032171598,-0.063492616,0.023923634,-0.054603554,0,-0.036232314,-0.017182392,-0.032258668,0,0.166666948,-0.136363006,0.031249907,0,0,0.246666411,-0.058823246,0.099358958,0.12500007,0.009740314,-0.058823596,0.02069004,0.016000182,-0.0531498,-0.01818188,0.128378378,-0.130434761,0.056338028,0,-0.017857264,-0.023077152,-0.047297534,-0.042553225,0.012345634,0.058823529,0.028571435,-0.002136752,-0.020330368,0.111111111,0.043478261,0.091463415,0.43750003,0.314685238,-0.087719298,0.045016052,-0.005291471,-0.027100674,-0.04702974,0.002953351,0,-0.024509966,-0.009846654,-0.02925498,-0.022745928,0.5,0,-0.333333403,0,0.031250126,-0.054026512,0.041490262,0.035641903,-0.057106901,-0.129135659,0.074074074,0.024390244,0.181817425,0.034482712,0.240000007,0.00197242,-0.059294795,0.021459282,0.011494266,-0.02857069,0,0,0,0.005690143,-0.006134754,-0.042352941,-0.01892056,0.003861004,0,-0.02097874
0.061643836,-0.048913043,-0.079365079,0.024630542,-0.008695715,0,0.142857143,-0.039999809,0.12,-0.015151644,-0.011719146,-0.050314153,0.005194777,-0.050846617,0.051401831,0,-0.018140249,0.022556903,-0.041958304,-0.016129312,-0.172413793,0.01156068,-0.026316334,-0.030302942,-0.010526448,0,-0.304812636,0,0.093294444,0.111111084,-0.035369991,-0.031249888,-0.08108141,-0.02362195,-0.062369952,-0.018518452,-0.065868263,-0.012500379,0.066666667,0,-0.036363595,-0.015748067,-0.035460729,0.044444481,0.039633681,0.266666667,-0.019097168,-0.002141328,-0.081712062,-0.04,-0.041666667,0.027932961,-0.072463721,-0.14893615,-0.128205128,-0.015384622,-0.029254943,-0.044567705,-0.01298703,-0.010308458,-0.024922367,0.010050225,-0.014364564,0.002739609,0.036575018,0.041666667,0.111111111,0.500000156,-0.31578949,0.287878523,-0.077586157,-0.037398374,0.092976343,0.010609825,0.050857889,0.103448276,-0.047619048,0,-0.06666658,0,0.009842292,-0.015332483,0.050420016,0.007575689,0.019607892,0,0,-0.002840769,-0.093749947,-0.004629709,-0.00982801,-0.0541692,0.01025641,-0.007662661,-0.021428739
0.096774194,-0.025714286,0.012931034,0.052884615,0.076754428,0,0,-0.027777639,-0.107142857,-0.003846389,-0.018445226,0.033112367,0.031008225,0,-0.008888869,-0.002265102,-0.002309772,0.022058625,0.036496683,-0.012020915,0.208333333,0,0,0,-0.079787526,0,0,0.06249968,-0.133333343,0.099999978,-0.033333218,0.118279406,0.055147162,0.016129009,-0.011086293,0,-0.012820513,0,-0.0125,0,0,0.012000539,-0.051470632,-0.021276287,0.00293294,-0.061403509,0.014159295,-0.034334764,0,0.104166667,-0.043478261,-0.130434783,-0.234375051,-0.049999956,0.235294118,0.021874885,-0.008219197,0.040815881,0.007894759,0.016369175,-0.031949349,-0.014924984,0.021300343,0.013661047,0.036888365,-0.16,0.033333374,-0.333333403,0,-0.152941077,0.098130702,-0.079391892,-0.062192366,0.006124532,0.011078928,-0.1375,-0.066666667,0.076923686,0.142857143,0.096774196,0.122807621,-0.017300676,0.032000085,-0.003759594,-0.009615828,0,0,-0.039886705,-0.021778617,-0.010852966,-0.017369727,-0.034482621,-0.012690355,-0.003861316,0
-0.035294118,0,0.093617021,0.050228311,0.032586332,0,0,0.028571282,0.08,-0.01737402,-0.012080498,-0.032051079,-0.030075633,0,0,-0.01589121,-0.023510992,-0.014388438,0.017605282,-0.014380762,-0.034482759,-0.119047311,0,0,0.063584157,0,0,-0.058823246,0.076923164,0,0.034482636,-0.153845822,0.017421904,-0.031746054,-0.006726427,-0.018867922,-0.012987013,-0.037974691,-0.006329114,0,-0.037735926,-0.023715719,0.027131695,-0.043478746,-0.076023562,-0.112149533,0.012216348,-0.048888889,-0.049435028,-0.056603774,-0.045454545,-0.175,0.183673521,0.157894723,-0.029761905,0.027523011,0.024861819,0.005602102,-0.044386409,-0.002928732,-0.026402168,0,-0.027442107,0,0.023974984,0.047619048,0,0.500000156,0,0.041666661,-0.068085055,0.037614679,-0.043893158,-0.009130557,-0.050749558,0.15942029,-0.035714286,0,0.437499855,-0.029411807,-0.083333454,0.028168435,-0.011627744,0.018868105,0,0,0,-0.002967547,-0.024119022,-0.015673927,0.02020202,-0.001242291,-0.030848329,0.003876283,0.021897986
-0.073170732,-0.073313783,-0.062256809,-0.017391304,-0.021696172,0,0,-0.05208355,-0.055555556,-0.018664388,-0.021739222,0.00496729,0.002584332,-0.017857506,-0.008968515,-0.028835153,0,-0.047444798,-0.024221299,0.005611724,0,0,0,0,0.054347605,0,0.676923117,-0.062499893,0.428571429,0,0,-0.011363845,-0.037672082,0,-0.006771897,0.038461465,-0.026315789,-0.039473692,0.01910828,0,0.019607916,-0.012145985,-0.011320479,-0.022726947,-0.034810089,-0.021052632,-0.007758652,-0.060747664,-0.008172363,-0.07,0,-0.03030303,-0.120689684,0.045454504,0.042944785,-0.019345257,-0.043127021,-0.011142105,0.021857902,-0.045520988,-0.023728862,-0.02525251,-0.023702433,-0.016172241,-0.04833769,-0.090909091,-0.161290395,0,0,0.120000116,-0.159817332,-0.064544651,-0.081836358,-0.011847058,-0.035844658,-0.21875,0.037037037,0,-0.130434695,-0.060606022,0.018939254,-0.023972281,-0.062745379,-0.018518692,-0.077670008,0,0,-0.011904517,-0.034220199,-0.012738708,-0.004950495,0.041044968,-0.015915119,-0.027026809,0
-0.065789474,-0.050632911,0.041493776,0,-0.064516149,0,0,0.054945296,-0.039215686,-0.008008198,-0.006944381,-0.024712132,-0.012886798,0.054545283,0.013574403,0.007125847,0.002398361,0,0.024822533,-0.016741612,0.160714286,0.027026721,-0.027026529,0.031249907,0,0,0,0.066666545,0,-0.090909072,-0.033333218,0.011494466,-0.010675596,0.049180398,0.013636218,-0.018518452,-0.013513514,0.013699051,0.01875,0,0,0.040983663,0.015266849,0,-0.016393568,-0.048387097,-0.103388297,-0.019900498,-0.017228464,-0.053763441,-0.047619048,-0.09375,0.019607848,-0.07608689,-0.005882353,0.013657093,0.045070789,0.028169365,-0.026737942,0.027692155,-0.017360816,0.005181088,-0.005780277,0.016438082,0.018253846,0,-0.230769242,-0.333333403,0.438461564,-0.142857227,0.016304326,-0.007561437,-0.041983697,-0.03863257,0.011972312,0.12,-0.142857143,0.839284941,-0.012499936,0,0.011152158,0.010526413,-0.012552058,-0.026415209,0.010526282,0,0,0.006024478,0.057086369,0.004839099,0.002487562,-0.003584387,-0.02425876,0.011904651,-0.028571422
0.007042254,0.123333333,0.27689243,0.044247788,0,0,0,0.01388882,0.081632653,0.02219983,0.008391738,-0.020270405,0.002610489,0.01724102,0,0.027122984,0.004784221,0.019156232,-0.027681638,-0.007945292,0.015384615,0,0.083332857,-0.151515047,-0.015463818,0,0,0,-0.3,0.099999978,0.031034365,-0.022727581,-0.007194872,0.03124989,0.04260076,0,0.006849315,-0.013513923,0.030674847,0,0.019230778,0.007874071,0.037593919,0.046511444,0.02000037,0.039548023,0.063953436,0.025380711,-0.03429878,-0.011363636,-0.1,0.103448276,-0.028846117,-0.082352981,-0.029585799,-0.004491129,-0.005390964,-0.021917965,-0.002747219,-0.01646731,0.017667539,-0.020618077,0.015116418,-0.0053911,0.024161843,-0.05,-0.19999989,0,0.336898421,0.111111142,0.008021482,0.055238095,0.152744297,0.023556601,0.074097342,0,0.083333333,0.009709036,-0.126582376,0,-0.014705838,0.076388537,0.025423581,-0.007752226,0.062500581,0,0,0.005987393,0.020484088,0.033707627,0.004962779,-0.005395921,-0.008287293,0.003921153,0
