CHRD,SOBR,INLX,BRTX,PRTG,UGRO,EQ,UONE,MCRB,FTEK,CVGI,CLF,BECN,RRX
-0.08620692,0,0,1,0.014814815,0.111111141,0.052631527,-0.115384601,0.019191974,-0.032258098,-0.035087755,0.04772728,-0.040897111,-0.006324888
0.037735928,-0.083333333,0,-0.5,0.04379562,0,0.067857164,0.139130409,0.076313131,-0.033333302,0.163636354,0.015184315,0.032095405,0.030367235
-0.05454551,0,0,0,-0.020979021,0,0.026755827,-0.068702228,-0.025782665,0.011494242,-0.020833314,0.006410301,-0.007552202,-0.007207176
-0.019230752,0,0,0,-0.035714286,0,0.003257326,0.065573706,0.045368667,0.011363626,0.005319144,-0.006369471,0.018352724,-0.006481722
0.03921565,0,0,0,0.037037037,0,0.068181832,-0.015384601,0.120253153,-0.033707834,0.222222201,0.061965806,0.071648315,0.041753614
-0.037735815,0.109090909,0,0,-0.071428571,0,0.072948332,-0.023437478,-0.071832148,-0.046511652,0.264069328,0.094567462,0.06972932,0.028056182
-0.058823533,0.31147541,0,0,-0.038461538,-0.100000024,0,0.047999954,-0.036521746,-0.01219511,-0.133561676,-0.051470626,-0.041027596,-0.015472761
-0.041666628,-0.2625,-0.045454609,0,0.016,-0.011111101,-0.022662868,0,-0.009025305,-0.086419744,0,0.011627896,-0.015593738,-0.015715836
0.086956502,0,-0.107142817,0,-0.05511811,0,0.017391288,0.007633672,-0.065573711,0.054054002,-0.083003969,0.019157162,-0.000406183,0.021624355
0.059999943,0,0,0,-0.016666667,0,-0.031339002,-0.00757584,0.054580843,0.025641079,0.03879317,0.052631527,0.049573315,0.005537742
0.075471743,-0.050847458,0,0,-0.06779661,0.123595524,-0.047058847,0.022900834,-0.070240231,0.012499988,0.020746867,0.035714337,0.02400313,0.028393094
-0.017543843,0.017857143,0.066666667,0,-0.99,0,-0.06172841,0.492537276,-0.055666043,-0.037037075,0.097560978,0.02241373,0.024196574,0.021063957
1.249999973,0.192982456,0,0,80.81818004,0,-0.026315765,-0.029999971,-0.014736878,0,-0.018518501,0.09274877,0.061277218,0.042191084
0.619047601,-0.969999999,0,0,0.222222222,0,0.0135135,0.067010243,0.025641104,0.064102582,0.19245282,0.089506161,0.008347818,-0.000559108
-0.230392117,29.88235221,0,1,0.068999967,0,0,-0.033816394,-0.031250019,-0.012048182,-0.034810168,-0.032577907,0.012418096,-0.004363874
-0.229299365,0,0,0,0.020494972,-0.120000005,-0.053333362,-0.069999993,0.002150484,0.036585404,-0.019672113,-0.035139059,-0.048381603,-0.042031977
-0.190082654,0,0,-0.5,-0.020833333,-0.420454553,-0.024647865,-0.188172054,-0.047210257,-0.070588236,-0.160535123,-0.150227652,-0.081274631,-0.075434074
0.204081556,0,0,0,-0.063829787,0,-0.028880839,0.218543076,-0.0135135,-0.012658291,0.055776934,0.128571478,0.016757611,0.032736987
-0.008474569,0,0,1,0.090818162,0,0.074349459,2.554347741,0.043379007,0,-0.049056645,-0.030063299,0.057109995,0.001228633
0.051282106,0,0,0,-0.08334028,0,-0.006920491,3.157492461,0.028446309,0.153846166,0.063492098,0.071778148,0.048948527,0.036937075
