DYAI,MITK,PRTG,MRKR,KRMD,SONN,TCBK,WFCF,NEPH,PLG,SNEX
0.2666666,0,0,-0.166666667,0,0.25,-0.029741697,0,0.113924032,0.003289474,-0.103800589
-0.342105255,0,0,0,0,0,0.060728646,0,-0.022727216,-0.078688525,0.153670788
0.200000048,0,-0.043478261,0,0.375000023,0,0.022900756,0,0.023255754,0.03202847,-0.003557281
0,-0.038461503,0,0,0,-0.071428571,-0.003198136,0,-0.159090896,0.055172414,-0.014280033
-0.1666667,0,0,0.1,0,0.076923077,-0.010160338,0.076923059,0.135135138,-0.04248366,0.01166998
0.200000048,0,0.045454545,-0.181818182,0.181818145,0,-0.018908874,0,-0.119047621,0.054607509,-0.013524308
-0.1333334,0,0,0,-0.230769191,-0.171428571,-0.028634151,0.071428664,-0.013513537,-0.029126214,-0.017741919
0,0,0.260869565,0.111111111,0,0.120689655,-0.018707796,1.20000004,0.164383616,-0.023333333,0.024630519
-0.038461503,0,-0.068965517,0,0,0,0.053148302,-0.242424302,-0.117647059,-0.013651877,0.032051253
0.080000043,0,0,0.2,-0.080000012,0,-0.019747829,-0.160000022,-0.066666667,0.003460208,0.01669256
-0.037037111,-0.199999988,-0.185185185,0.5,0.195652165,0,-0.013430104,-0.19047615,0.042857094,0.017241379,-0.00572729
-0.038461503,0.049999952,0,0.166666667,0,-0.138461538,-0.014747594,0,0.027397308,0.010169492,-0.011136674
0.039999962,0.333333381,0,0.523809524,-0.090909072,-0.089285714,-0.007483873,0.235294055,-0.133333333,0.030201342,-0.0046603
0,0,-0.045454545,-0.0625,0.249999981,0,-0.000580392,0.047619037,0,0,-0.008583627
0.38461549,-0.107142861,0,-0.366666667,0.200000048,0,-0.013348901,-0.045454536,0.030769218,-0.009771987,-0.007870909
-0.1944445,-0.040000021,0.214285714,0.157894737,-0.0666667,0.37254902,-0.002940956,0.095238146,-0.029850734,-0.006578947,-0.023403416
0.379310405,0,0,0.136363636,0,0,-0.024188814,0.043478184,-0.076923077,-0.039735099,-0.010966712
-0.02500005,0,-0.137254902,-0.12,0,0,-0.005441554,0,-0.116666653,0.034482759,0
-0.025641002,0,0,0.045454545,0,0,0.055319252,-0.166666635,0,-0.03,0.00616007
-0.078947373,-0.041666628,0,0.043478261,0,0,0.048963397,0,0.056603789,0.017182131,0.00285717
-0.142857094,0,0,0,0.064285738,0,-0.010983141,0,0.053571366,-0.013513514,-0.043142004
0,0,0,-0.291666667,0.006711423,0,0.029428363,0,-0.067796583,-0.061643836,0.005104206
0.1666666,-0.173913069,0.090909091,0.294117647,0,-0.028571429,-0.029666065,0,0.10909094,-0.00729927,-0.034701618
0,0,0,-0.090909091,-0.0666667,0.014705882,-0.0389101,0,-0.03278694,0.025735294,0.003945665
-0.142857094,-0.052631529,-0.083333333,-0.1,0,0,-0.030075414,0,0,-0.068100358,-0.017904006
0,0,0,0,-0.071428609,0.014492754,0.032796967,0,-0.050847402,-0.165384615,0.0106714
0.0333333,-0.055555583,0,0.111111111,0.230769248,0,-0.005773907,0,-0.089285712,0.115207373,0.00747919
0.193548393,0.176470593,0,0,0,-0.171428571,0.008129979,0,0.137254881,0.05785124,0.028820932
1.027027001,-0.150000004,0,0,0,0.189655172,-0.033986135,0.049999989,0.068965487,-0.08203125,-0.014006808
0,0,0.136363636,0.2,-0.118749964,0,0.014311257,-0.047619037,0.01612906,0.004255319,-0.005596237
-0.199999968,0,0,0,0.06382981,0,0.033509945,0,0.015872975,-0.042372881,-0.01255407
0.083333251,0,0,0,0.0666666,0,-0.015358482,0,-0.078125002,0.013274336,0.066637375
-0.153846104,0,0,-0.083333333,-0.006250013,0,-0.006354916,-0.099999977,0.101694947,0,0.004521193
-0.181818221,0,0,-0.090909091,-0.056603703,0,-0.014534693,0.111111083,-0.015384641,0.03930131,0.003273319
0.666666711,0.176470593,0,0.1,0.059999921,-0.202898551,-0.050147451,0,0.015625027,-0.012605042,0.025693317
-0.466666659,0,-0.04,0.136363636,-0.062893024,0.272727273,-0.038509416,0.099999977,0.076923077,0.029787234,-0.011928361
