PLX,SMTI,SCWO,EPM,CMCL,FSI,EGY,VGZ,DGX,LXU,ORKA,FORR,PRDO,ESE,POOL,ATLO,FLO,FNLC,FNWD,NEE,TEF
0,0.217391304,-0.166666641,-0.041666422,0.222221987,0,0,0,0.084628732,0.031249334,0.051388889,-0.081188208,-0.12401046,0.037500202,0.0048512,0,0.076923636,0,0,0.014084659,0.003005331
0,-0.178571429,-0.299999991,0.043477994,-0.090908876,0,-0.286041214,0.142857143,0.011146622,-0.151514801,0.141347424,0.051724277,0.104417671,0.0240966,-0.001072565,0,-0.022321855,0.016949189,0,-0.025000852,-0.051685715
-0.416666667,0,0.28571423,0,0,0,-0.198717904,0,-0.042519898,-0.07142866,-0.115740741,-0.040983595,0.009545566,0.027450784,0.001073716,0,-0.009132156,0,0,-0.018517682,0.037915119
0,0.086956522,-0.222222188,0.041666888,-0.10000004,0,0.623999845,0,-0.059210356,0,0.109947644,-0.196581091,-0.0018011,0.03053441,0.008583534,0,0.00921632,0,0.024390315,-0.039187031,-0.003805684
0,-0.12,0.142857049,-0.127999883,-0.111111327,0,-0.231527063,0,0.036713209,0,0.100235849,0.018616827,0.01398286,0.014814411,0.022340928,0,-0.022831156,-0.11666656,-0.023809592,-0.015106207,-0.00458346
0,-0.227272727,-0.124999928,0,-0.124999836,0,0,-0.125,-0.008431644,-0.07692318,0.024651661,-0.018276575,0,-0.014598148,0.015608607,0,0.004673285,0.132075335,0,0.042944751,0.009976895
-0.428571429,-0.117647059,0,0,0,0,0,0.142857143,-0.025509957,0.166666908,-0.112970711,0.047872028,-0.003558719,0.011111641,-0.018443104,0,-0.004651547,0,0.036585422,0.019117776,-0.009118292
0,0,0,0.10091705,0,0,-0.198717904,0,-0.010471656,-0.107142282,-0.056603774,-0.001268816,0.014285714,-0.014652278,-0.006262621,0,-0.018690962,0,0,0.076479037,-0.015337654
0,0,0,-0.220833304,-0.142857214,0.150000029,0,-0.125,0.063492585,0,-0.07,0.036848879,-0.01056338,0.007434987,0,0,0.04285659,0,0,-0.025469226,-0.021806624
0,0,0,0.165775761,0,-0.565217402,0,0.142857143,-0.018242359,0,-0.107526882,0.024509561,0.008896906,-0.007380116,0.004201814,0,-0.004565993,-0.008334035,0,-0.017881732,-0.035031841
0,0,0,0.431192627,0,0,0,0,-0.001689419,0,-0.079819277,-0.023923214,-0.014109346,0.007434987,-0.006276139,0,0.045871933,-0.008402696,0,0.030812451,-0.03052829
0,-0.2,-0.035714328,-0.198718037,-0.166666514,1.300000057,0,-0.125,0.076142419,0.03999923,0.168576105,0.063725249,0.001788799,-0.011070512,0.031578888,-0.057692504,0.065789003,0,-0.105882414,0.001358562,0.012765871
1,0,0.037037082,0,0.19999978,0,0,0.142857143,0.001571853,0,-0.106442577,-0.04032278,0.010714286,0.01119444,-0.077551222,0.112245209,-0.020575994,-0.002568554,0,-0.016282107,-0.038655101
-0.625,-0.083333333,-0.035714328,0.371999714,-0.166666514,0,0,0,-0.036106436,-0.192307186,-0.070532915,-0.04201675,-0.015900952,-0.018450567,0.059734196,0.021364332,0.025209582,0,0,0.019310328,-0.024475645
0,-0.272727273,0.037037082,-0.090378719,0.19999978,0,0,0,0.045602405,0,0.045531197,-0.017857268,-0.005386105,-0.026315732,0,0,0.004098625,0,0,-0.002706463,0.000895862
0,0.375,-0.214285705,0,-0.166666514,0,0,-0.25,0.03271053,0.214285453,0.035483871,-0.068580448,0.032490975,0.00772199,-0.03131478,0,-0.012244619,0,0,-0.006784335,0.04207704
1.666666667,0,0.09090903,0,0,0,0,0.166666667,0.01357471,-0.098038966,-0.009345794,-0.024657435,0.019230876,-0.003831282,-0.02586224,0,-0.012396948,0,0,0.017759777,0.034364558
0,-0.090909091,-0.166666718,0,0,0,0,-0.142857143,-0.011904844,0,-0.066037736,0.011236145,-0.005145902,0.042307912,-0.013273871,0,-0.012551781,0.030042922,0,0.013422781,-0.013289206
0,-0.2,0,0,0,0,0,0.166666667,0.010541627,0.130434005,-0.084175084,-0.030555646,0.018965622,0.047969987,0.040358436,0,0,0,0,-0.009271154,-0.037878898
0,0.25,0.100000128,0,0,0,0.200000048,0.142857143,0.004471373,0,-0.080882353,-0.100286429,-0.065989944,-0.021126657,-0.028017264,0,0.021185656,0,0,0.010694862,-0.013998125
0,-0.2,-0.136363629,-0.198718037,-0.20000023,0,0.0399999,-0.125,0.013353343,-0.153846359,-0.072,-0.073248486,0.054347826,-0.025179501,0.068736319,0,0.020747142,-0.033333396,0,-0.003968405,-0.007098661
0.5,0.125,-0.10526328,-0.127999883,0,0,0,0,0.042459866,0.090909234,-0.224137931,-0.140893428,-0.054982818,-0.011070512,-0.016597826,0,-0.040649908,0,0.078947383,-0.03320026,-0.040214364
0,-0.222222222,-0.05882339,0.146788837,0.25000036,0,0,0,0.129213511,-0.0416659,-0.066666667,0.063999935,0.047272727,0,-0.01476745,0,0.008474247,0.034482826,0,-0.042582347,0.016759728
0,0.428571429,0.062499843,-0.127999883,-0.20000023,0,0,0,0.114427388,0,0.142857143,0.274436145,-0.045138889,-0.014925527,0.049250254,0,0.004201479,0,0,-0.005739098,0.024725204
0,-0.2,0,0,0,0,-0.099358976,-0.142857143,-0.016741268,0.217390583,0.161458333,0.039822614,-0.087272727,0.011363866,-0.008163626,0,-0.008367646,-0.016666492,0,0.036075032,0.004468324
0,-0.125,-0.176470601,0,0,0,0,0.166666667,-0.026106063,-0.178570942,-0.053811659,-0.072340322,-0.107569721,0.011235992,0.020576687,0,-0.008438569,0.016948972,0,0.006963674,-0.017793631
0,0,0,0,0,0,0,0.142857143,0.002330948,0.043477427,-0.04028436,-0.051987552,0.022321429,0.003704004,0.056451568,0,0,-0.016666492,0,0.005532526,-0.019927338
0,0,0,-0.215596365,0,-0.130434804,0,-0.25,0.06511579,-0.0416659,0.086419753,0.10645163,0.152838428,-0.029520772,0.015267082,0,0.05957396,0,0,0.037139032,0.005544971
0,0,0,0.315789395,0,0,-0.110320233,0,0.030567948,0.391303846,-0.015909091,-0.017492563,0.045454545,-0.00760442,0.018796926,0,0.004015871,0,0,-0.001326401,0
0,0.285714286,-0.214285733,-0.306666611,0,0,0,0.333333333,0,-0.156250855,-0.016166282,0.084569735,0.101449275,0,0.03505572,0,-0.008000364,0.016948972,0,-0.03320026,-0.026654187
0,-0.222222222,-0.090908879,0,0,0.249999939,0,-0.125,-0.01377125,-0.037036377,0.058685446,-0.008208071,-0.00493411,0,0.049910378,0,-0.016129094,0,0,-0.005494527,0.000944414
0,0.285714286,-0.10000011,0,0,0,0,0,0.015037678,0,0.241685144,0.005517125,-0.008264563,-0.019157109,-0.018675974,0,0.020492437,0,0,0.002761876,0.060377136
0,-0.444444444,0,0,0,0,0,0.142857143,-0.013756846,-0.192307186,-0.171428571,0.075445791,-0.036666667,0.003906176,-0.01211042,0,0,-0.033333396,0,-0.004131921,0.022242077
0,0,0,0,0,0,0,0,-0.033261602,0.142856299,0.023706897,0.015306285,-0.051903114,-0.023346383,-0.028020938,0,0.024096352,0.017241626,0,0.006915893,-0.00696236
0,0,0.222222087,0,0,0,0,0,0.007769188,0,0.054736842,0.206029985,-0.063868502,0.007968111,0.010811153,0,0.094117666,0,0,0.006868018,-0.015775817
0,0,0,0.198717607,0,0,0,0,0.050660594,0,0.005988024,-0.087499978,0.171539941,0.011857881,0.017824886,0,-0.02867413,0.008474276,0.036585422,-0.010914095,-0.037399894
0,0,0,0,0,0,0,0,-0.004192944,0,-0.003968254,0.063926981,-0.014975142,0.062500382,0,0,0.01845013,0,-0.011764691,0.037241293,-0.040703378
0,0,0,0,-0.249999922,0,-0.128000045,-0.125,0.014736926,0,-0.091633466,-0.06437779,0.030405405,0,-0.028020938,0,0.010869926,0,-0.011904944,-0.006648737,-0.006508911
0,0,-0.181818091,0,0.666666973,0,0.14678905,0.142857143,-0.022821635,-0.083333454,-0.052631579,0.009174381,-0.004917933,0,-0.018467922,0,-0.007168716,0,-0.01204808,0.012048103,-0.026935213
0,0,0.111111247,-0.165775163,-0.20000023,0,0,-0.125,0.054140122,0,0.041666667,0.088636396,0.047775842,0.014705294,0.035336613,0,0.050541797,0,0,0.030423176,0.00299292
0,0.6,0,-0.198718037,0,0,0,-0.142857143,0.079557135,0,0.055555556,-0.080375832,-0.001572231,0.02898563,0.042553565,0,0.079037916,0,0,-0.023106553,0.038040632
0,0,0,0,0,0,-0.25200004,0.166666667,-0.007462812,0,0.037894737,0.125993212,-0.011023717,0.035211311,0.037414519,0,-0.022293168,0,0,0.022339163,0.009819924
-0.333333333,-0.125,0,0,0,0,0,0,0.048871888,0,0.058823529,-0.014112912,-0.002786624,-0.00680282,-0.003278381,0,0,-0.008403067,0,-0.029563055,0.013283013
0,0,1.099999744,0,0,0,0.336898467,0,-0.026881328,0,-0.030651341,-0.030674822,-0.00998004,-0.010273723,-0.023026216,0,-0.055374612,-0.016949391,0,-0.009271154,-0.066479574
0,0,0.142857143,0,0,0,0.123999935,0,-0.043278301,0,-0.071146245,-0.060126597,0.012903226,0,-0.003367278,0,-0.017241647,0,0,0.018715916,-0.011032814
-0.75,0.571428571,-0.208333282,0,0,0,0,-0.142857143,-0.051010233,-0.045453716,-0.055319149,-0.003367018,0.01910828,-0.00346043,-0.035472996,0,0.024561673,0,0,0.003937159,-0.066937156
0,0.181818182,0,0.495999738,0,0,0,0,-0.009128346,0.047618137,-0.004504505,-0.119369253,-0.00625,-0.01388886,-0.022767358,0,-0.020547791,0,0,-0.003921719,-0.018478153
0,-0.307692308,0.052631447,0,0,0,-0.33451957,0.166666667,-0.006140866,-0.090909291,-0.135746606,-0.028133076,-0.012578616,0.014084477,0.039426706,0,-0.006993649,0.008620935,0,0.010498733,-0.037652436
0,0.111111111,0.050000064,-0.331550685,0,0,0,0,0.118434636,0.300000601,0.013089005,0.055262992,0.00955414,-0.003471637,-0.034482559,0,0.042254079,0.020298691,0,0.023169224,0.023015005
0,0.3,0,0,0,0,0,0,0.020257949,-0.230769587,-0.082687339,0.01246904,-0.03785489,-0.003484659,-0.053571241,0,-0.023648397,-0.019894852,0,0.003850956,0.007873882
0,0,0,0,0,0,0,-0.142857143,0.023465378,0.050001144,-0.081690141,0.004926285,0.03442633,0.006992758,-0.007547218,0,0.031142045,0.025640843,0,0.017903165,0.036830482
0,0,0,-0.255999901,0,0,0,0,-0.03350971,0,0.18404908,0.041666523,0.004754261,-0.024305389,0.003326958,0,-0.013422983,0,0,-0.012562597,0.082884746
0,-0.153846154,0,0,0,0,0,0,-0.020072827,0.333332625,-0.056994819,0.128235348,0.015772871,0.003558474,0.027001274,0,-0.017006807,-0.008333452,0,0.011450061,-0.031809384
0,0,0,0.677419316,0,0,0,0.166666667,0.024208679,-0.14285732,0.142857143,-0.038582146,0.01708084,0.017731169,0.007379937,0,0.024221189,0.008403482,0,-0.002515917,0.020534289
0,0.181818182,0,-0.198718037,0,0,0,0,-0.029090746,-0.083333454,0.132211538,0.052060884,0.016793798,0.003483731,0.027473034,0,-0.003377838,0,0,-0.002521838,0.064386083
0,0,0,0,0.25000036,0,0,0,-0.050561893,-0.090909291,0.10403397,-0.010309296,-0.004504413,0,-0.023173273,0,-0.027119099,0,0,-0.039190852,-0.009451483
1,-0.230769231,-0.047619106,0,-0.20000023,0,0,0,-0.024655166,0,0.080769231,0.020833449,0.043740477,0.006944314,-0.001824967,0,0.017421481,0,0,0.023683907,-0.004771211
0,0,0,0,0.25000036,0,0.668449194,0,-0.013144412,0,0.021352313,0.00816317,0.028901734,-0.003447925,-0.010968812,0,0.02054843,-0.016666492,0,-0.008997172,-0.018216761
0,0.3,-0.19999989,0,0,0,0.099358976,0,-0.009221386,0,-0.066202091,-0.012145647,-0.033707865,0,-0.016635738,0,0,0.025423189,0,0.002594059,0.015625118
0,-0.230769231,0.749999943,0,-0.20000023,0,0,0,0.01861434,0,0.194029851,0.001024646,0.046511628,0.024221628,-0.015037503,0,-0.023490299,0,0,0.009055192,0.036538025
0,0.4,0.178571377,0,0,0,0,-0.142857143,-0.029441556,0,-0.0734375,-0.005117754,-0.004166582,0.020269545,-0.009541902,0,0.062756446,0,0,0.001282756,-0.025045992
0,0,-0.090909091,0,0,0,0,0.166666667,0.020920438,0,-0.072512648,0.051440178,0.006973415,0,0.005780335,0,0.029316494,0,0,-0.008963557,0.004757258
