SMMT,LASE,GCTS,KZIA,TECX,HOLO,ASNS,FTEL,DUO,DRUG,ATER,MBRX,MNPR,MIRA
-0.008908678,0.02434076,0.000933728,0.035714337,-0.007692361,-0.042091811,0.035087686,-0.019736824,0.283636282,0.012953418,0.097435946,0,0.021212101,0.104761923
0.049438264,0.054455512,0.001865625,0.068965449,0.015503923,0.375943168,-0.053389802,-0.053691304,-0.062322906,0.002557542,0.102803737,-0.019607825,0.00890214,-0.112068965
0.085653124,-0.004694943,0.004655511,0.129032293,-0.015267221,1.140645083,0.002685784,0.053191524,0.01963748,-0.005102036,-0.055084731,-0.004000008,0.008823521,0.009708729
-0.262327439,0.009434066,0.000926805,0.142857143,0.007751992,-0.752712459,0,0.060606082,-0.094814829,-0.041025662,-0.044843072,0.004016072,0.950437297,0.028846242
0.098930514,0,-0.000925947,-0.199999988,0,-0.055454027,0.004464281,-0.060317477,0.00163664,-0.002673794,-0.037558692,0.001999974,-0.147982099,0.009345785
0.046228723,-0.036448628,-0.018535664,-0.062500014,-0.007692361,-0.289677429,-0.022222201,0.351351334,-0.024509781,0.029490588,-0.095121963,0.02794411,0.964912313,-0.018518611
0.079069689,-0.010669289,-0.065155857,0.033333302,-0.007751931,-0.399636699,0.072727202,0.075000048,0.139028482,-0.020833314,0.010781693,0.04854376,0.160714305,-0.056603723
-0.038793068,0.009803912,0.058585853,-0.032258035,0.015625048,0.815431207,0,0.076744165,-0.11911769,-0.010638288,0.010666688,0.090740673,0.038461538,0.029999971
-0.013452902,0.004854364,-0.026717533,-0.066666683,0,-0.214166641,-0.017796533,0.047516152,-0.023372286,-0.005376339,0.055408964,0.045840426,-0.103703675,0.019417458
0.02954548,0.004830913,0.050980438,-0.07142859,0.0153846,0.071049806,-0.007765369,0.020618537,-0.056410245,-0.021081099,-0.02500005,-0.009740231,-0.173553745,-0.047619004
0.002207451,0.394230866,0.012126876,0,-0.00757575,-0.038613876,-0.052173864,-0.032323203,-0.018115925,-0.006074013,0.166666743,0.03114753,-0.169999981,0.004999995
0.024229105,-0.048275897,-0.030414738,0,0.015267161,-0.071060779,0.009174303,0.022964537,0.029520355,-0.022222202,0.04615384,-0.028616862,0.079518052,0.034825838
-0.036559155,-0.072463786,0.049429609,-0.038461503,-0.01503758,-0.140798197,-0.027272701,0.057142802,0.021505312,-0.028409064,-0.084033657,0.126022949,0.104910667,-0.048076879
0.131696462,0.258593733,-0.003623185,-0.119999981,-0.00763358,-0.140645181,0.009345785,-0.04440155,0,-0.064327492,0.006880782,-0.020348834,0.07070715,-0.060606062
-0.045364894,0.104903809,0.027272745,0,0.030769201,0.013513537,-0.018518611,0.060606101,-0.035087686,-0.018749982,0.070615006,-0.00593473,-0.094339619,0.026881695
-0.024793463,0.264044964,-0.070796476,0,-0.022388038,-0.096296296,0.009434066,0.045714242,0.038181759,0.070063625,0.023404271,0,-0.047916669,-0.005235597
-0.067796549,-0.146666686,0.023809524,-0.045454609,0,-0.111475397,0.028037355,0.127504611,0.059544729,-0.071428576,0.039501026,0.005970161,-0.10612694,0.652631655
-0.022727251,-0.088541646,0.240930247,-0.047619004,-0.00763358,-0.083025829,0.036363601,0.077544429,0.104132168,-0.038461503,-0.015999973,-0.062314531,0.116279045,-0.044586019
0.002325524,0.051428591,-0.179910086,0.049999952,-0.015384661,-0.016096564,-0.043859608,0.014992489,0.115269497,0.046666702,-0.040650427,-0.11234183,-0.094298209,0.033333302
0.046403779,-0.114130453,-0.013711117,0.047619118,0.007812493,0.370143107,-0.045871624,0.005908414,-0.060402707,-0.070063701,-0.182203379,-0.001782508,-0.089588405,-0.290322543
0.053215024,-0.036809781,0.000926805,0,-0.015503862,-0.010447716,0.04711541,0.016152736,-0.128571393,-0.109589097,-0.12435235,-0.042857123,-0.0598404,0.118181811
-0.027368445,-0.006369496,0,0,0.023622088,-0.030165911,-0.05417816,-0.021676314,-0.085245877,0,0.047337286,-0.076492551,-0.079207911,-0.040650464
-0.109307387,0.076923083,0.062037043,0.045454501,-0.007692361,-0.166407528,-0.038834915,0.028065001,-0.103942698,-0.016153776,0.053672299,0.111111124,0.029185802,0
-0.117861406,-0.077380952,0,0.086956544,-0.023255792,-0.076492511,0.010101,0.137931039,-0.029999971,-0.046129799,-0.112600526,-0.047272768,0.135820948,0.00847467
0.055096364,-0.006451607,-0.028770699,0.119999981,0.015873001,0.07878791,0.049999952,-0.155303031,-0.00412372,0.06803274,-0.129909404,-0.196564861,0.007884355,0.042016765
-0.073107044,0.318181832,0.054757598,-0.107142842,-0.023437478,-0.058052476,-0.014285701,0.061285477,-0.064182231,-0.056024525,-0.055555464,0.04988123,-0.087353334,0.016129017
-0.050704245,-0.088669926,-0.107234062,0.080000019,0.023999977,-0.033797232,0.024154567,-0.032394369,-0.013274297,0,11.24264611,11.9072396,-0.014285701,-0.023809501
-0.026706207,-0.162162199,-0.042897981,0,-0.046874956,-0.074074045,-0.028301861,-0.01892287,-0.017937256,-0.016260147,-0.069069076,-0.079754589,0.028985479,-0.056910611
0.140243915,0.083870967,-0.344621519,0.185185182,0.032786853,-0.111111111,0,0.00890214,-0.01369859,-0.066115736,-0.070967676,-0.108571461,0.036619751,-0.008620682
0.002673794,0,5.686930169,-0.031250044,0,-0.064999962,0.000970919,0.007352899,0.041666612,0.035398196,-0.013888958,0.183760719,0.001358662,-0.052173864
0.103999964,0,-0.248636332,0,0.015873001,0.029411723,-0.000969977,0.154744519,0,0.025641104,-0.028168988,0.066786983,-0.075983711,0.009174303
