CHRD,SOBR,BRTX,DUOT,LRMR,UONE,OXBR,OMI,GENE,WIMI,ODV,PRTG,INLX,UGRO,BACK,ATXG,IVT
-0.059071676,-0.144927536,0,0,0.024999975,-0.023041562,0.092307689,0.060897563,-0.03394254,0,0,-0.022222222,0,0,0.02884608,0,0
0,0,0.249999981,-0.066666667,0.016260147,0.009434066,-0.022369569,0.040785317,-0.002702661,0,0,0.060606061,0,0,0.045794433,0,0
-0.031390104,0,-0.199999988,0,0.023999977,-0.074766392,0.06779665,-0.024673365,-0.029810359,0,0,0,0,0,-0.124218055,0,0
-0.00925925,-0.237288136,0.249999981,-0.135714258,0.031250064,0,-0.096825381,-0.008928485,-0.002793254,0,0,0,0,0,0.030612232,0,0
-0.014018789,-0.111111111,0,-0.009917424,-0.01515159,0,0.12478028,0.004504532,0.036414544,0,0,0.071428571,0,0,-0.034653441,0,0
-0.004739332,-0.175,-0.199999988,0.025876497,-0.030769203,0.025252501,-0.023437478,-0.040358778,0.029729688,0,0,-0.066666667,0,0,-0.042051266,0,0
0.038095317,0,-0.249999981,-0.015459689,0,0,-0.023999977,0.048286704,-0.005249264,0,0,-0.107142857,0,-0.1666667,-0.079229164,0,0
0,0,-0.33333335,0.021983453,-0.0079365,0,0.032786853,0.062407086,-0.021108259,0,0,0,0.125,0,0.011627952,0,0
-0.045871624,0.212121212,0.500000037,-0.015041231,0.015999985,0.059113362,0.190476199,-0.02797191,-0.040431269,0,0,-0.04,0,0.149999976,0.039080477,0,0
-0.096153815,0.25,0,-0.008210212,-0.055118058,-0.023255902,-0.019999981,0.004316504,-0.044943779,0,0,0.166666667,-0.111111111,0,-0.061946912,0,0
-0.058510646,0,-0.33333335,-0.013245021,-0.008333325,-0.042857104,-0.020408143,-0.055874058,-0.061764717,0,0,0,0,0,0.00235847,0,0
-0.067796614,-0.1,0,0.006208084,0.025210059,0.019900479,-0.055555583,-0.006069792,0.009404425,0,0,0,0,0,0.035294103,0,0
-0.109090879,0,0,-0.012839776,-0.106557371,-0.043902398,0.03676467,-0.064122096,-0.071428605,0,0,-0.071428571,-0.5,-0.130434765,-0.036363602,0,0
0.115646227,0,0,-0.054054082,0.045871514,0,-0.014184384,0.114192365,-0.066889633,0,0,-0.038461538,1.75,0,0.167452836,0,0
-0.06707318,-0.111111111,0,0.017857126,0.026315765,0.020408143,-0.066906429,0.052708758,0.078853075,0,0,0.04,-0.181818182,0.179999948,-0.131313179,0,0
