KNW,LIXT,DVAX,CHCI,BHRB,ISDR,MRKR,PRTG,SMTI,SGRP,QUBT,LFMD,NEPH,CYTH,SCWO,WFCF,DYAI,MITK,CTSO,HGBL
0,0,-0.037974707,0.015873055,0,0.057692642,0,0,0,0.083333251,0,0,-0.050847402,0,0.028571401,0,0,0,-0.055555556,0.346666654
0,0,0.026315827,-0.109375002,0,0,0.111111111,0,0,0,0,0,-0.089285712,-0.2,0.027777818,0,0.0333333,-0.055555583,-0.058823529,0
0,0,0.0128205,-0.035087746,0.02129353,0,0,0,0,-0.069230706,0,0,0.137254881,0,-0.054054066,0,0.193548393,0.176470593,0,0
0,0,0.158227786,0.090909068,0,-0.363636497,0,0,0,0.033057819,0,-0.133333365,0.068965487,0.75,0,0.049999989,1.027027001,-0.150000004,0,0
0,0,0.065573815,-0.033333303,0,0,0.2,0.136363636,0.058823529,0,0,0,0.01612906,0,0.114285742,-0.047619037,0,0,0.1875,0.089108945
0,0,0,0.034482726,-0.014671648,0,0,0,0,0.072000027,0,0,0.015872975,0,-0.025641062,0,-0.199999968,0,0,-0.045454609
0,0.0625,0.292307731,-0.033333303,0,-0.28571445,0,0,0,0,0,-0.384615353,-0.078125002,0,0,0,0.083333251,0,0.052631579,-0.285714253
0,0,-0.075396884,-0.034482726,0,0,-0.083333333,0,0,-0.097014919,0,0,0.101694947,-0.428571429,0,-0.099999977,-0.153846104,0,-0.15,0
0.176470588,0,-0.064377685,0.035714251,0,0,-0.090909091,0,0,0,39,0.249999981,-0.015384641,0,0,0.111111083,-0.181818221,0,0,0.399999936
0,0,0.027522954,-0.086206874,0.000783616,0,0.1,0,-0.055555556,-0.024793463,0,0,0.015625027,0,0.052631592,0,0.666666711,0.176470593,-0.058823529,-0.285714253
0,0,0,-0.018867906,0.010180295,0.800000538,0.136363636,-0.04,0,0,0,0,0.076923077,0.75,0,0.099999977,-0.466666659,0,0,0
-0.25,0,0.026785732,-0.019230816,0,0,-0.04,0,0,0,0,0,0,-0.142857143,0,0,0,0,0,0.399999936
0,0,0.047826104,0.196078448,-0.019379667,0,-0.208333333,0,0.088235294,0,0,0,-0.071428571,0,0,0,0.724999968,0.549999989,0,0
0,0,0.033194989,0.229508202,-0.003952857,-0.511111144,0.368421053,0,0,-0.025423706,0,0,-0.076923077,-0.166666667,0,0.136363677,0.086956525,-0.16129036,0,0
0.333333333,0,-0.008032083,-0.09333329,0,0,-0.115384615,-0.166666667,0,-0.026086932,-0.7475,0.5,0.066666638,0.4,0,0.200000072,0,0.153846242,0,-0.285714253
0,0.058823529,0.008097119,0.014705818,0,0,-0.043478261,0,0,-0.017857126,0,-0.066666683,0.125000083,0,0,-0.033333373,-0.400000016,0.3333333,0,0
0,0.122222265,-0.2329317,-0.07246375,0.02777761,0,0.090909091,0,0,-0.045454609,0,0,0.041666618,-0.285714286,0,-0.241379352,0.222222281,0.274999957,0,0
0,0,-0.015706866,-0.062500047,0,0,-0.083333333,0,0,0,0.03960396,-0.285714274,-0.066666667,-0.2,-0.019999981,0,0.272727223,-0.254901956,0,0
0,-0.207920822,0,0,0,0,0,0,0,0,0,0.399999976,0.071428571,0,0.147959161,0,0,-0.157894745,0,0
0,0,-0.042553153,-0.083333314,0,0,0,0,-0.081081081,0,0.047619048,0,0.066666667,0,-0.044444402,0,0,0.406249994,0,0
-0.2,0,-0.049999979,0,-0.023165581,0,0,0,0.088235294,0.06666672,0,0,-0.0625,0.75,0.069767372,0,-0.357142863,0,0,-0.066666683
