ATER,MBRX,TECX,HOLO,MNPR,DRUG,SEZL,DAVE,LUNR,APLT,DNTH,PI,BBW,EML,JANX,CWST,GEHC,ESGR,AVA,FSI,CHWY,ACLS,AITR,ALCY,AQU,ATMV,AY,CBRG,CLRC,CSLM,DUET,ENV,ESHA,FORL,GDST,IPXX,IROH,IVCP,LATG,MARX,MNTN,NVAC,PLAO,RENE,RFAC,SKGR,SVII,TGAA,THCP,TLGY,VMCA,YOTA
0.12903223,-0.019342341,0.007874008,-0.051813474,-0.018867906,0.004651158,-0.036363602,0.207350564,0.013550122,-0.032051253,-0.025096456,0.00049508,-0.004818248,-0.004140803,-0.020023567,0.006576667,-0.005917886,-0.001157485,-0.01130433,0.005347588,-0.003910598,0.00711602,0,-0.000946991,0,0,-0.0253936,0.001833223,0,0,0,0.004606558,0,0,0,0.000962394,0,0,0,-0.000939871,0.000914098,0,0,0,0,0.006404363,-0.000918295,0,0,0,0,0.003770025
-0.017142807,0.023668568,0.015625048,-0.071038213,-0.021978066,-0.046296361,-0.084669812,0.004089057,-0.021390354,-0.003311255,0.027227684,0.027906973,-0.009683069,0.00540545,0.044471142,-0.012379576,-0.006764984,0.009681867,-0.030196387,-0.010638288,-0.050476703,-0.01078862,0,-0.001895778,0.00185533,0,-0.031266304,0.003659649,0,0.000913263,0.002927684,-0.024073334,0,0.000943328,0,0.00048078,0,0,0,0,0,0.008968644,0,0.000906639,0,0,0,-0.004480304,0,0.002685742,0.005338116,0
-0.008720991,-0.013487417,0.0076923,-0.111764683,-0.073033706,-0.009708729,0.00489561,0.039366467,-0.010929016,0.043189407,0.10024096,0.015788961,-0.025777774,0.006203458,0.021864274,0.015668505,0.116469078,0.00451685,-0.006045972,0,0.011813281,-0.002918507,0.000979454,0,0,0,0.014523962,0.007292609,0,0,0.001642004,0.023296762,-0.003868468,0,0,0,0,0,0,0.001881421,0,0.021333313,0,0,0,-0.004545472,0.00183819,0,-0.001951264,0,0,0.004694854
0.014662743,0.015624915,0.00763358,10.9205295,-0.060606076,-0.014705869,0.038717906,-0.043099687,-0.033149141,-0.1082803,0.060008797,0.015069627,-0.006386833,-0.001233074,-0.007882848,-0.002856816,-0.001586106,0.003759358,-0.007299321,0.048387114,-0.011675357,0.012863951,0.000978403,0.002849068,0.000925947,0.000925947,-0.004772012,-0.004524904,0,0,0,-0.011861468,0.000970896,0.001885057,0,0.001441648,0,0,0,0,0,0,0.001785755,0.003623185,0,0.013698683,0.001834904,0,0,0,-0.000884976,0
0.052023143,-0.051923041,-0.015151501,0.594444444,0.054838736,-0.054726376,0.045174078,-0.085077296,0.079999992,-0.032142827,-0.041322313,-0.007376293,0.016069718,0,0.044267806,0.000229162,0.002810653,-0.012300823,0.007965752,-0.020512862,-0.020673383,-0.070271542,-0.000977446,-0.001893983,-0.000925091,0,-0.019712351,0,0,0.001824772,0,-0.002904192,0.001939816,-0.002351888,0,0,0,0,0,0,0.000913263,0,-0.000891286,0,0,0,-0.000915772,-0.00135008,0,0,0.00088576,0
0.186813242,0.04868158,0.0153846,-0.257839721,0.070336398,0.005263153,0.027869634,0.027846815,0.32010577,0.025830233,0.031896541,0.035086101,0.019430652,0.00370371,0.025000054,0.022914757,-0.008774083,0.019554667,0.007902684,0.015706854,0.049457159,0.025112472,-0.000195681,0,0,-0.000925091,0.002173963,-0.00363636,0,-0.001821449,0,0.015922324,-0.00193606,0,0,-0.000959715,0,0,0,-0.000938899,0,0,0,-0.002707557,0,0.013513479,0,0,0,0,-0.002654844,0.019626172
-0.041666681,0,-0.015151501,-0.198122051,-0.054285731,-0.005235597,0.079963224,0.013546235,0.062124335,0.014388476,-0.029657518,-0.010814271,0.000443273,-0.015580122,-0.086956588,-0.001008024,0.022498179,0.025305387,0.006634536,0.010309268,0.007471326,-0.023938717,0,0,0.001851806,0,0.029826422,-0.00091243,0.000896078,0,-0.000910681,0.01337922,0.000969862,0.00141446,0.000921592,0.003842456,0,0,0,0.000939781,0,0,0,0,0,0,0.001833223,-0.000450664,0.001466309,0,0.002661911,0
-0.057971059,-0.013539708,0,0.377049138,-0.003021145,0.015789459,-0.028723372,-0.013365187,-0.028301904,-0.03546096,0.005596258,-0.05383556,-0.030128503,-0.012911265,-0.078977916,-0.016145335,-0.010340274,-0.036096567,-0.032055113,-0.030612276,-0.04620658,-0.032455864,0.000685063,0,0,0,-0.023170118,0.008036557,0,-0.003649632,0,-0.052244444,-0.001937937,-0.000941641,0,-0.003827748,0,0,0,-0.000938899,0.006386833,0,-0.000892081,-0.000724016,0,-0.028444417,-0.001829868,0,0.000488054,0,-0.001769952,0
0.097435946,0,-0.007692361,-0.042091811,0.021212101,0.012953418,0.072289137,0.054668561,-0.033009723,-0.014705868,0.017123271,0.002815816,0.010507147,0.021097046,0.139974799,0.047977198,0.010448313,0.020255276,-0.000928585,0.005263153,0.043062276,0.019011407,0.000488915,0.000948788,0,0,0.003234576,0,0,0,0,0.013930363,0.000970896,0.001885057,0,0.000960637,0,0,0,0,0,0,0.000892878,0.001630194,0,0.018298244,0,-0.000901734,-0.001951264,0.001785755,-0.001773006,0
0.102803737,-0.019607825,0.015503923,0.375943168,0.00890214,0.002557542,-0.00919307,0.043578018,0.345381483,0.399253696,0.005471345,0.033501153,0.02576852,0.02727272,0.05088496,0.009134449,0.029577962,0.03833221,0.044299887,0.010471194,0.001146706,-0.011111081,0.00097754,-0.000947889,0,0,0.034390079,-0.00253668,0,0.002747228,0,0.016682992,0,-0.001881511,0,-0.000959715,0,0,0.004504436,0,0.000906639,0,0.002676158,0.001808273,0,0,0.000916611,0,0,0.000891201,0,0
