ATER,MBRX,TECX,HOLO,MNPR,DRUG,MLGO,SMMT,LASE,GCTS,BMR,ILLR,CURI,ONFO,BYSI
-0.055555464,0.04988123,-0.023437478,-0.058052476,-0.087353334,-0.056024525,-0.084051698,-0.073107044,0.318181832,0.054757598,-0.056130002,0.027439021,0.649484451,-0.090909111,-0.044871754
11.24264611,11.9072396,0.023999977,-0.033797232,-0.014285701,0,-0.054117652,-0.050704245,-0.088669926,-0.107234062,-0.014084457,0.068249735,-0.062500004,-0.078000009,0.046979821
-0.069069076,-0.079754589,-0.046874956,-0.074074045,0.028985479,-0.016260147,0.199005024,-0.026706207,-0.162162199,-0.042897981,0.074603139,0.147221953,0.033333369,0.019522784,0.112179537
-0.070967676,-0.108571461,0.032786853,-0.111111111,0.036619751,-0.066115736,-0.060165965,0.140243915,0.083870967,-0.344621519,-0.059084209,0.174333734,0.053763453,-0.010638288,0.040345783
-0.013888958,0.183760719,0,-0.064999962,0.001358662,0.035398196,-0.083885231,0.002673794,0,5.686930169,0.061224545,-0.07835014,-0.020408204,-0.038709691,0.005540227
-0.028168988,0.066786983,0.015873001,0.029411723,-0.075983711,0.025641104,-0.077108473,0.103999964,0,-0.248636332,-0.045858049,-0.029083301,0.114583413,0.073825487,-0.016528975
-0.09057971,-0.040609099,0,-0.038961039,-0.002936855,0.14999995,-0.013054818,-0.038647307,-0.166666655,-0.452813085,-0.044961236,-0.009216082,-0.056074822,-0.062500004,0.008403353
-0.02390436,-0.038800752,0,-0.137837848,-0.057437389,0,-0.010582001,-0.032663345,0.00714285,-0.143173031,-0.008116837,-0.13488403,0.019801962,-0.024444395,-0.088888873
-0.077551042,-0.036697214,0.015625048,0.216300931,0.003124997,-0.072463786,0.072192572,0.025974064,0.014184384,-0.557419346,-0.019639993,-0.008064051,0.009708729,0.002277875,-0.018292666
0.092920371,0.009523846,0.0076923,-0.051546393,-0.006230524,0.015624985,-0.079800537,-0.103797489,0.020979085,-0.164723046,-0.015024988,-0.024390154,-0.042307665,-0.052272732,-0.192546621
0.028340054,-0.018867996,-0.030534382,-0.084239091,-0.056426352,-0.1,0.005420049,0.096045242,-0.034246623,0.424083738,-0.038983053,0.041665682,0.034136526,-0.057553931,0.046153896
0.078740177,-0.028846082,-0.007874008,-0.023738849,-0.001661088,0.034188105,-0.053908368,0.018041219,0.014184384,-0.142156847,0.093474378,0.064000255,0.213592267,0.017811703,-0.05882356
0.113138665,0.035643529,0,-0.012158101,-0.016638998,0.057851183,-0.085470072,0.032911361,0.811188818,-0.090000016,0.209677457,0.002506146,0.047999954,0,-0.062499942
-0.154098372,-0.005736178,-0.0079365,-0.055384592,0.082910366,-0.046874956,-0.034267954,-0.019607825,-0.030888002,0.161695483,-0.079999987,0.007500795,0.106870314,0.017499998,-0.058333375
-0.003875965,-0.082692278,0.015999985,-0.084690564,0.203124952,0.032786853,-0.022580624,0.007500052,-0.083665354,-0.051351366,-0.023188452,0.004962466,-0.200000049,-0.004914015,-0.088495597
-0.073929893,-0.029979062,0,0.035587188,0.014285732,0.0079365,-0.075907598,-0.090570776,-0.10000001,-0.136752143,-0.08902076,0.086419711,0.077586238,0.032098794,0.014563093
-0.067226924,-0.036092462,-0.007874008,-0.151202734,-0.033290622,-0.031496033,-0.114285692,-0.00272851,-0.053140048,-0.080858049,0.019544033,-0.05227309,-0.039999962,-0.040669902,-0.157894707
-0.009009,-0.040358706,0,-0.040485829,-0.035761586,-0.073170758,0.032258034,-0.031463751,0.168367305,-0.107719993,0.03035137,-0.06235011,-0.041666725,0.059850422,0.022727251
-0.040909159,0,-0.031746002,-0.054852367,-0.100274725,0,-0.07812502,0.008474568,-0.06986893,0.010060401,-0.038759691,0.023017834,-0.0782609,-0.084705911,0.027777818
0.004739332,0.057009333,0.016393427,0.316964308,0.035114506,0.035087686,0.046610228,-0.016806707,0.056337971,-0.00796812,-0.064516069,1.575000633,-0.028301861,0.182519306,-0.027027065
-0.033018838,0.027851442,-0.032258098,-0.054237301,-0.056047213,-0.050847411,-0.048583046,-0.002849,-0.026666641,-0.216867454,-0.048275897,0.213592498,0.116504862,-0.045652168,0.061111121
0.03902447,-0.075268795,0,-0.053763442,-0.012499988,0,0.014893654,-0.00285714,-0.031963548,0.128205125,-0.072463786,0.999999631,-0.121739121,0.387243765,0.104712006
