DRUG,ATER,MBRX,TECX,HOLO,AITR,ALCY,AQU,ATMV,AY,CBRG,CLRC,CSLM,DUET,ENV,ESHA,FORL,GDST,IPXX,IROH,IVCP,LATG,MARX,MNTN,NVAC,PLAO,RENE,RFAC,SKGR,SVII,TGAA,THCP,TLGY,VMCA,YOTA
0.029490588,-0.095121963,0.02794411,-0.007692361,-0.289677429,0,0.001897577,0,0,-0.030110918,0,0,0.000913263,0,0.001638968,0.005847901,0,0.000918207,0,0.000499263,0.003652965,0,0,0.01278542,0,0,0,0,-0.010781661,0.000916191,-0.000900025,0,0,0.002664275,0
-0.020833314,0.010781693,0.04854376,-0.007751931,-0.399636699,0,-0.000946991,0,0.000924236,0.004357294,0,0.002685742,0.002737202,0,0.083452687,0,0,-0.000917365,0,-0.000998027,-0.004549608,0,0,0,0,-0.002669015,0,0,-0.000908286,-0.001098406,-0.001801843,-0.00146131,0,0,-0.014665431
-0.010638288,0.010666688,0.090740673,0.015625048,0.815431207,0,0.000947889,0,0,-0.027657278,0,0,0.00191082,0,-0.033415149,0.001938029,0,0.001836502,0.000958703,0.000999024,0,0,-0.002809053,0.019837715,-0.020887709,0.002676158,0.000904998,0,-0.009090944,-0.000274925,0.00722021,0,0.000891201,0,0
-0.005376339,0.055408964,0.045840426,0,-0.214166641,0.000195298,0,0.000925002,0.000923382,0.004461792,0,0,0,0,-0.00566408,0.00096714,0,0,0,-0.000998027,0.000914098,0,0,0,0,0,0.000452004,0,-0.005504538,0.001833223,-0.003584226,0.002926803,0,0.002657195,0.023255814
-0.021081099,-0.02500005,-0.009740231,0.0153846,0.071049806,-0.00019526,-0.001893983,0,0,-0.011660244,0,0,-0.000998972,0.000911511,0.001374969,-0.004830936,-0.000941641,0,-0.000957785,-0.002997072,0,0.002685742,0,-0.011494263,0,0,-0.001355571,0,0.026752764,-0.000914934,0,-0.001945477,0,0,0
-0.006074013,0.166666743,0.03114753,-0.00757575,-0.038613876,0,0.000948788,0.000924236,0.004612564,0.008988756,0,0,0,0,0.01078853,0.005825191,0.000942529,0,0.000958703,0,0,0,0,0.001788864,0,0.0026691,0,0,0.003593887,0.002747228,0,0,0,0,0
-0.022222202,0.04615384,-0.028616862,0.015267161,-0.071060779,0.00039069,0.000473944,0,-0.003673091,-0.007795067,0.000908286,0,0,0,-0.008926821,-0.002895727,0,0,0.000478938,0,0,0,0,-0.006249973,0,-0.001774663,0.000904998,0,-0.006266759,-0.001826439,0,0,0,0,0
-0.028409064,-0.084033657,0.126022949,-0.01503758,-0.140798197,0.000585666,0.00142107,0,0.003686632,-0.019079695,0,0,-0.000909112,0.001821535,0.007636565,0.003872213,0.000941641,-0.000916611,0.000478709,0.000501013,0,0,0,0,0,0.003555552,0.003616633,0.009259206,0.000900836,0.001829781,0.000899301,0.001949269,0.002671477,0.000883412,0
-0.064327492,0.006880782,-0.020348834,-0.00763358,-0.140645181,0.003902435,0,0,-0.003673091,-0.002860368,0,0,0,0,-0.00038866,-0.001928593,0.000470378,0,0,0,0,0,0.000938989,-0.000449247,0,-0.002657195,-0.002702764,0,-0.002700246,0,0,0,0.00088812,0,0
-0.018749982,0.070615006,-0.00593473,0.030769201,0.013513537,0.00097184,-0.001797545,-0.000923382,0.004608224,0.026964963,0,0,-0.00081891,-0.003545414,0.003110417,-0.00028988,-0.000470156,0,-0.00095696,-0.000500763,0,-0.003571425,-0.000938108,-0.004044951,0,0.00088812,0,0,0,-0.001826439,-0.001796986,-0.001945477,0,-0.000882633,0
0.070063625,0.023404271,0,-0.022388038,-0.096296296,-0.003883491,0.000853074,0.000924236,0,0.013966481,-0.003629847,0,0,0,0.026550442,0,0,0.003669721,0,0.001002027,0,0.002688148,0.000938989,0,0,0.000887247,-0.000451682,0,-0.000902548,0.001829781,0.000900111,0.001949269,0,-0.000883328,0
-0.071428576,0.039501026,0.005970161,0,-0.111475397,0.002046775,0.000473405,0,0,0.015978012,0,0,0,0,0.02491976,0.003189329,0.006585108,0,0,-0.002001952,0,0,0,0,0,-0.000886461,0,-0.000917365,-0.000903277,-0.001826439,0,0,-0.000887332,0.001768303,0
-0.038461503,-0.015999973,-0.062314531,-0.00763358,-0.083025829,0.002820765,0,0,0,-0.034164916,0,0.002678548,0.000819582,0,0.022103532,-0.000963413,-0.003738314,0.001828195,0.000957876,0.001002936,-0.009132368,0,0,0,0,0.001774579,0,0,-0.00090418,-0.000914934,-0.000899301,-0.000972692,-0.00088812,-0.014121787,0
0.046666702,-0.040650427,-0.11234183,-0.015384661,-0.016096564,-0.002909863,0,0,-0.002752269,-0.012352573,0,0,0,0,-0.005226183,-0.001928593,-0.001407072,0,-0.00095696,0,0,0.002681027,0.002814234,0.000992751,0,0,0,0,-0.000904998,0.000915772,0,0,0.000888909,0.012533603,0
-0.070063701,-0.182203379,-0.001782508,0.007812493,0.370143107,0.000972785,-0.001419725,0,0,0.005116552,0,0,0,0,-0.013405827,-0.000966206,-0.000469715,0.00091243,-0.000478847,0,0.124423906,0,0,0,0.000888909,-0.001771435,0.002259428,0,0.000905818,-0.000914934,0,0.002921103,0.00088812,0,0
-0.109589097,-0.12435235,-0.042857123,-0.015503862,-0.010447716,0,0.002843577,0,0,-0.001696871,0,0,0.000364028,0.000821077,-0.014873257,0,0.001879653,0.010938914,0.000479076,0,-0.103278709,0,0,0,0.00088812,0.002661911,0,0,0,0,0,0,0,0,0
0,0.047337286,-0.076492551,0.023622088,-0.030165911,-0.00097184,0,0,0.001839969,-0.003965988,0.024134823,0,0,-0.001823196,-0.002050338,-0.00096714,-0.001876126,0,0,0,0.000914098,0,0,0.00531963,0,-0.001769952,0.001803382,0,0,0,0,0.000485448,0,0.000884109,0
-0.016153776,0.053672299,0.111111124,-0.007692361,-0.166407528,0.000194538,0,0.001846764,0,-0.017064803,0,0,0,0.006392753,0.016996635,0.001936153,0,-0.010730427,0,0.001002027,-0.013698596,0,-0.000935386,0,0,-0.001773006,0,0,0.004524904,0.004578772,0,0,0,8.84E-05,-0.015454552
-0.046129799,-0.112600526,-0.047272768,-0.023255792,-0.076492511,0.00155619,-0.000945201,0,0.000918207,-0.001157434,-0.000978184,0,0.00145532,0,-0.001285577,0.00386473,0.001879653,0,0.001436815,-0.000300231,0,0,0.000936262,0.000896882,0,0.00088812,0,0,-0.006756825,-0.000455799,0,0,0,-8.84E-05,0.014773763
0.06803274,-0.129909404,-0.196564861,0.015873001,0.07878791,0.000194198,0.000946095,0,0,0.001158775,-0.003916737,0,0.000908286,0,0.038065459,-0.000962486,0.000938108,0.000820329,0,0,0,0,-0.002806336,0,0,0,-0.001800135,0,-0.000453439,0.000456007,0,0,0,0,-0.012738798
-0.056024525,-0.055555464,0.04988123,-0.023437478,-0.058052476,0,-0.000472601,0,0.000917452,0.00925925,0,0,0,-0.002722385,0.013994702,-0.001926826,-0.001874457,0,0.000478251,-0.000200341,0.000462974,0,0.002814234,-0.002688148,0,-0.002661995,0.000901734,0,0.002722299,-0.000911598,0,0,0.000887247,0,-0.019354842
0,11.24264611,11.9072396,0.023999977,-0.033797232,-0.001941792,0.000472824,0,0,0.041857771,0,0,0,0,-0.009958132,-0.002895727,0.004694854,0,0,0.000400667,-0.000462759,0,-0.002806336,0.002695394,0,0.0026691,0,0,0.000904998,0.00091243,0,0,-0.000886461,0,0.011278184
-0.016260147,-0.069069076,-0.079754589,-0.046874956,-0.074074045,0,-0.000945201,0,0.003666358,0.003852487,0,0,0.00317603,0.000909939,0.00847015,0.00677635,-0.000934601,0.003369823,0,-0.001902098,0,0,0.001876216,0.000896078,0,0,0.000900836,-0.007346182,-0.00090418,-0.000911598,0,0,0,0,0.021375422
-0.066115736,-0.070967676,-0.108571461,0.032786853,-0.111111111,0,0.000946095,0,-0.001369807,0,-0.015192058,0,-0.003165974,0,-0.016972899,0,0,0,0.000956045,0.001002936,0,0,0,0,0,0,0,0,-0.001357497,0.00091243,0.001800221,0,0.000887247,0,-0.014558676
0.035398196,-0.013888958,0.183760719,0,-0.064999962,0,0,0,0,-0.003289444,0.019419214,0,0.002268568,-0.001818223,0.026343886,0,0.002899919,0,-0.000477566,0.000501013,-0.000925947,0.000891201,0,-0.000895276,0,0.001774579,0.000900111,0,0.004077941,0.000911511,0.005390788,-0.000485212,0,0,0
0.025641104,-0.028168988,0.066786983,0.015873001,0.029411723,0,0,0,0,0.016501608,-0.000356121,0,-0.000452704,0,0.004335761,-0.004807619,0,0,0,-0.000500763,0,0,-0.000936351,0.000896078,0,0,-0.000899301,0,-0.002707557,0.000910768,0,0,0.00177309,0,0
0.14999995,-0.09057971,-0.040609099,0,-0.038961039,0,0,0,0.001828944,0.010281414,0,0.001157657,0,0.001821535,-0.01070625,0,-0.001958764,0,-0.000477794,0.001002027,0.001853611,0,0,-0.000895276,0,-0.001771435,-0.000900025,0,0.00180991,-0.001819791,0,0.000970896,0.001769868,0.003533566,-0.001846676
0,-0.02390436,-0.038800752,0,-0.137837848,0,-0.001890312,0,0,-0.009105521,0,-0.000266856,-0.002717367,-0.000909112,-0.003141915,0,0,0,0,0,-0.000925091,0.001780985,0,0,0,0,0.000900836,0.004162731,-0.000903277,0,0,0.000969862,-0.000883328,0.000880302,0.013876005
-0.072463786,-0.077551042,-0.036697214,0.015625048,0.216300931,0,0.001420397,0,0,-0.024324366,0,0.00044485,0.002724771,0,-0.000700419,0,0,0,-0.000478022,0.003503488,0,0.000444455,0,0.000896078,0,0,0.000900111,0,0,0.000911511,0,0.003875965,0,0,0
0.015624985,0.092920371,0.009523846,0.0076923,-0.051546393,0,0.00236412,-0.00092168,-0.002282028,0.012742463,0,0.003112481,0.003623185,0,-0.000876104,0.004830844,0.00934583,0.00299537,0.001434753,-0.000797947,0,0.000444257,0,0,0,0,0.000899301,0,-0.00180836,0,0,0.001930546,0.000884109,0.001759055,0
-0.1,0.028340054,-0.018867996,-0.030534382,-0.084239091,0,0,0,0,0.002735188,0,0,0,0,0.022448242,-0.00384615,-0.008333347,0.00180991,0.000955041,-0.000399387,0,0,0.005623193,0,0,0.002661911,0,0,0.001811636,0.000910768,-0.004468207,0,0.001766825,-0.000877983,-0.029197052
0.034188105,0.078740177,-0.028846082,-0.007874008,-0.023738849,0.000972785,0,0,0,0.009819984,0,0.00177309,0.000902548,0,0.002058301,0,0.002801096,-0.00180664,0,-0.000299541,0,-0.00088812,0,0,0,-0.001681421,0.000898493,0,0.001808273,0.000909939,0,0,-0.000881854,0.00439369,-0.008458661
0.057851183,0.113138665,0.035643529,0,-0.012158101,-0.00097184,0,0.00092253,0,0.026472165,0,0,-0.002705116,0,0.020369779,0,0,0,0,0,0,0.000888909,0,0,0,0.000797786,0.001795288,0,-0.001805009,0,0,0.002890148,0,0,0
-0.046874956,-0.154098372,-0.005736178,-0.0079365,-0.055384592,0,0.000943328,0,0,-0.020526284,0,0.001769868,0.001808273,-0.00272973,-0.023318225,-0.002895727,0.005586631,0.000452499,0.00095422,0,0.002777753,0.00088812,0,0,0,0.00088576,0,0,0,0.000454556,0.004488262,0,0.000882633,-0.000874911,0.006161098
0.032786853,-0.003875965,-0.082692278,0.015999985,-0.084690564,0,0,0.000921592,0.000914847,0.032778006,0,-0.00167845,0.001805095,0,0.013740969,0.004356251,0.001851806,-0.000452294,0.001906621,0,-0.002770058,0,0,0.000895276,0,0.001769868,0.000896078,0,0.001808273,0,0,0.000960637,0,0,0
0.0079365,-0.073929893,-0.029979062,0,0.035587188,0.00194557,0,0,0.001828195,-0.051508835,0,0,0,0,-0.029142684,0,0.000184829,0.002714908,0,0.001997952,0.000925947,0.002661911,0,0.001788864,0,0,0,0,-0.000902548,0.000908699,0.001787351,-0.000959715,0,0,0
