SMMT,DTSS,GCTS,FFIE,SEZL,JXN,VCTR,LC,MLI,SLG,CRVS,WLFC,COMM,ZETA,SWIM,DRUG,ATER,MBRX,TECX,HOLO,HYLN,TPC,FTAI,IESC,PRM,SMR,INSG,EBS,AEYE,ASPI
-0.011940287,-0.014388475,0.000944309,-0.012269927,0.301646097,0.013552358,0.010588253,-0.015306168,0.020632103,-0.01279068,-0.029268265,-0.005165688,0.021551704,0.060373239,-0.039130398,-0.047500014,-0.013698658,-0.109677449,0,-0.047619063,-0.034103365,-0.030012005,0.010408129,0.047358674,-0.009756088,-0.058823533,0,-0.041666628,0.005725231,0.015706854
0.090634428,-0.189781067,0,-0.031055921,0.165349402,0.003646684,0.017462121,0.029792749,-0.004516109,0.060306184,0,0.012548637,0.004219506,0.010352007,0.067873237,0.016272976,0.031250013,-0.009057963,-0.007462679,-0.077272762,0.082004516,0.007425795,0.013128692,0.004865844,0.002463111,0.036458361,0,-0.005434777,-0.022770377,0.072164878
0.044321355,-0.045045003,0,-0.057692306,-0.001356463,0.016350374,0.006865037,0.064150974,0.023115137,0.035547708,0.030150725,0.057264965,-0.0357143,0.004098357,0.059322081,-0.00826448,0.013468041,-0.082266942,-0.01503758,0.083743883,0.073684204,0.042997471,0.01774321,0.014054594,0.066339059,0.095477415,0,0.076502723,0.011650474,0.072115433
0.084880683,0.094339606,0,0,-0.093181206,-0.004766591,-0.026420463,0.016548504,-0.005912136,-0.019523704,-0.004878044,-0.055375867,0.071895406,0.017346946,0.023999977,0,0.019933595,-0.089641413,0.015267161,-0.027272745,0.068627504,0,-0.014691479,-0.038201709,0.032258033,0.073394423,0.05555557,0,-0.011516304,0.130044825
0.083129502,0.091954003,-0.000943418,-0.01360543,-0.06321152,-0.001796052,-0.002042594,0.006976682,-0.005947379,-0.001969369,-0.004901956,0.006632382,-0.020325184,-0.010030128,-0.046874956,0,0.019543916,0.109409285,0,-0.042056058,0.027522909,0.004711421,0.013717743,-0.0117462,-0.029017883,-0.029914502,0.284210573,-0.045685295,-0.003883491,0.00396825
0.027088119,-0.126315796,0,-0.062068962,0.063639202,0.008596567,0.003216392,0.018475733,0.032051283,0.029818035,0.009852207,0.0712009,0.016597494,-0.001013194,0.065573706,-0.005208328,-0.05750801,-0.03747539,-0.00751879,-0.053658555,0.026785689,0.036342372,0.011963067,0.008822463,0.027586181,0.11013216,-0.151639392,-0.010638288,-0.015594527,0.003952565
-0.147252758,0.024096435,0,0.014705869,0.044497999,0.002973195,0.00816085,0.009070286,0.000621172,0.005961226,0,-0.015873076,-0.016326515,0.006085235,0.053846196,-0.000523522,0.020339025,-0.004098369,0.030303001,0.005154659,-0.060869508,-0.002262495,0.011627952,-0.007287726,0.013422913,0.09126985,0.111111124,-0.021505356,0.043564313,0.011811013
-0.028350549,0.011764694,0.001888527,0.065217389,0.157167496,0.003754989,-0.002890965,0.011235998,0.01841505,0.014391541,0.043902514,0.004032274,0.033194988,0.007056421,0.003649632,-0.002095373,-0.003322216,0.008230469,0.007352993,0.153846154,0.083333251,0.027210967,0.029118782,0.017007211,0.046357517,0.083636371,0.03478268,0.0054945,-0.015180251,-0.085603126
-0.001326227,0.03139536,-0.000942439,-0.040816289,-0.030845812,0.011813319,0.006088695,-0.028888914,0.011580652,-0.0191947,-0.028037466,0.000200846,-0.016064242,-0.005005024,-0.039999962,0.128608991,0.0333333,0.028571425,-0.160583957,-0.079999966,-0.034188003,-0.009933791,0.007632164,0.01816644,0.006329158,-0.016778507,-0.042016865,-0.05464482,-0.009633948,-0.042553153
0.04116865,0.071025887,0,-0.042553151,-0.024897265,-0.025685925,-0.027953925,0.032036693,-0.035951012,-0.043820413,-0.038461503,-0.016061093,-0.05306127,-0.02615687,-0.041666716,0.004651158,-0.04193552,0,0.09565215,-0.028985525,-0.070796498,-0.001114853,-0.003325333,-0.031549075,-0.006289352,-0.013651864,-0.039473647,-0.034682116,0.021400805,0.08888891
